#geneid	family	symbol	taxid	contig	orient	start	end
1338	0	COX6A1P	9606	NC_000001.9	+	80734244	80734505
1376	0	CPT2	9606	NC_000001.9	+	53434688	53452454
1378	0	CR1	9606	NC_000001.9	+	205736095	205881732
1379	54081	CR1L	9606	NC_000001.9	+	205885118	205963652
1380	52631	CR2	9606	NC_000001.9	+	205694292	205729862
1382	49181	CRABP2	9606	NC_000001.9	+	154936026	154941998
1401	49059	CRP	9606	NC_000001.9	+	157948702	157951002
1429	50998	CRYZ	9606	NC_000001.9	+	74943771	74971314
1435	51972	CSF1	9606	NC_000001.9	+	110254979	110273877
1441	49190	CSF3R	9606	NC_000001.9	+	36704230	36721095
1465	49195	CSRP1	9606	NC_000001.9	+	199719282	199742872
1486	0	CTBS	9606	NC_000001.9	+	84792809	84812685
1491	51639	CTH	9606	NC_000001.9	+	70649542	70677840
1503	49200	CTPS	9606	NC_000001.9	+	41218029	41250814
1510	0	CTSE	9606	NC_000001.9	+	204484081	204498726
1513	49203	CTSK	9606	NC_000001.9	+	149035310	149047435
1520	49203	CTSS	9606	NC_000001.9	+	148969174	149004928
1573	49207	CYP2J2	9606	NC_000001.9	+	60131567	60165010
1579	49209	CYP4A11	9606	NC_000001.9	+	47167432	47180003
1580	49209	CYP4B1	9606	NC_000001.9	+	47037328	47057671
1600	0	DAB1	9606	NC_000001.9	+	57236166	58488798
1604	0	CD55	9606	NC_000001.9	+	205561487	205600469
1629	0	DBT	9606	NC_000001.9	+	100432323	100487977
1647	49212	GADD45A	9606	NC_000001.9	+	67923470	67926606
1650	0	DDOST	9606	NC_000001.9	+	20850856	20860530
1660	0	DHX9	9606	NC_000001.9	+	181075164	181123504
1676	0	DFFA	9606	NC_000001.9	+	10443174	10455199
1677	0	DFFB	9606	NC_000001.9	+	3763704	3791852
1718	0	DHCR24	9606	NC_000001.9	+	55087887	55125492
1733	0	DIO1	9606	NC_000001.9	+	54132448	54149346
1744	0	DLSTP	9606	NC_000001.9	+	75980272	75983281
1802	0	DPH2	9606	NC_000001.9	+	44208239	44211629
1805	0	DPT	9606	NC_000001.9	+	166931329	166965051
1806	0	DPYD	9606	NC_000001.9	+	97315889	98159166
1810	0	DR1	9606	NC_000001.9	+	93584065	93600736
1818	0	DRD5P2	9606	NC_000001.9	+	147168914	147170962
1855	0	DVL1	9606	NC_000001.9	+	1260520	1274622
1870	49930	E2F2	9606	NC_000001.9	+	23705508	23730299
1889	49232	ECE1	9606	NC_000001.9	+	21418938	21489493
1893	0	ECM1	9606	NC_000001.9	+	148747206	148752659
1901	49234	EDG1	9606	NC_000001.9	+	101475042	101479661
1907	0	EDN2	9606	NC_000001.9	+	41717032	41722883
1912	0	PHC2	9606	NC_000001.9	+	33561813	33613780
1939	0	LGTN	9606	NC_000001.9	+	204831596	204852526
1942	52022	EFNA1	9606	NC_000001.9	+	153366972	153374009
1944	0	EFNA3	9606	NC_000001.9	+	153317971	153326637
1945	50083	EFNA4	9606	NC_000001.9	+	153302836	153308652
1952	50471	CELSR2	9606	NC_000001.9	+	109594163	109619894
1953	0	MEGF6	9606	NC_000001.9	+	3396349	3517918
1969	49936	EPHA2	9606	NC_000001.9	+	16323418	16355150
1996	49933	ELAVL4	9606	NC_000001.9	+	50347224	50439647
1999	0	ELF3	9606	NC_000001.9	+	200243695	200251755
2005	50912	ELK4	9606	NC_000001.9	+	203851857	203868622
2023	49246	ENO1	9606	NC_000001.9	+	8843649	8861366
2025	0	ENO1P	9606	NC_000001.9	+	234713004	234714828
2029	49934	ENSA	9606	NC_000001.9	+	148861222	148868721
2035	49935	EPB41	9606	NC_000001.9	+	29086214	29319544
2046	0	EPHA8	9606	NC_000001.9	+	22762590	22802673
2048	49936	EPHB2	9606	NC_000001.9	+	22910044	23114404
2052	0	EPHX1	9606	NC_000001.9	+	224079598	224099883
2058	0	EPRS	9606	NC_000001.9	+	218208564	218286622
2060	49248	EPS15	9606	NC_000001.9	+	51592522	51757582
2104	51432	ESRRG	9606	NC_000001.9	+	214743210	215329598
2117	0	ETV3	9606	NC_000001.9	+	155369599	155374800
2134	49844	EXTL1	9606	NC_000001.9	+	26220857	26235518
2135	51129	EXTL2	9606	NC_000001.9	+	101110528	101133005
2140	51474	EYA3	9606	NC_000001.9	+	28173405	28287717
2152	0	F3	9606	NC_000001.9	+	94767460	94779902
2153	0	F5	9606	NC_000001.9	+	167750032	167822344
2165	0	F13B	9606	NC_000001.9	+	195274943	195302988
2166	0	FAAH	9606	NC_000001.9	+	46632574	46652103
2170	49181	FABP3	9606	NC_000001.9	+	31610686	31618509
2205	49258	FCER1A	9606	NC_000001.9	+	157526127	157544637
2207	0	FCER1G	9606	NC_000001.9	+	159451710	159455661
2209	0	FCGR1A	9606	NC_000001.9	+	148020911	148030697
2210	0	FCGR1B	9606	NC_000001.9	+	120728656	120737416
2211	0	FCGR1C	9606	NC_000001.9	+	147635917	147644998
2212	49258	FCGR2A	9606	NC_000001.9	+	159741843	159755983
2213	49258	FCGR2B	9606	NC_000001.9	+	159899563	159914574
2214	0	FCGR3A	9606	NC_000001.9	+	159778172	159786441
2215	49258	FCGR3B	9606	NC_000001.9	+	159859676	159867524
2224	0	FDPS	9606	NC_000001.9	+	153545373	153557079
2268	49105	FGR	9606	NC_000001.9	+	27811395	27823159
2271	0	FH	9606	NC_000001.9	+	239727525	239749676
2275	51631	FHL3	9606	NC_000001.9	+	38235028	38243820
2301	50903	FOXE3	9606	NC_000001.9	+	47654330	47656310
2306	0	FOXD2	9606	NC_000001.9	+	47674275	47678949
2312	0	FLG	9606	NC_000001.9	+	150541274	150564302
2326	49269	FMO1	9606	NC_000001.9	+	169484286	169521736
2327	49269	FMO2	9606	NC_000001.9	+	169421011	169448445
2328	49269	FMO3	9606	NC_000001.9	+	169326659	169353582
2329	49269	FMO4	9606	NC_000001.9	+	169550109	169577846
2330	49269	FMO5	9606	NC_000001.9	+	145124461	145163545
2331	49099	FMOD	9606	NC_000001.9	+	201576374	201586911
2475	0	FRAP1	9606	NC_000001.9	+	11089178	11245152
2494	49329	NR5A2	9606	NC_000001.9	+	198263392	198413174
2496	0	FTHL1	9606	NC_000001.9	+	37782750	37783645
2497	0	FTHL2	9606	NC_000001.9	+	226889681	226890248
2517	49273	FUCA1	9606	NC_000001.9	+	24044160	24067361
2532	0	DARC	9606	NC_000001.9	+	157441133	157442913
2537	51008	IFI6	9606	NC_000001.9	+	27865158	27871310
2563	49278	GABRD	9606	NC_000001.9	+	1940702	1952049
2582	53001	GALE	9606	NC_000001.9	+	23994675	23999880
2590	49947	GALNT2	9606	NC_000001.9	+	228269650	228484568
2629	52957	GBA	9606	NC_000001.9	+	153470866	153481111
2630	0	GBAP	9606	NC_000001.9	+	153450240	153454887
2633	49287	GBP1	9606	NC_000001.9	+	89290592	89303478
2634	49287	GBP2	9606	NC_000001.9	+	89345897	89364386
2635	49287	GBP3	9606	NC_000001.9	+	89244955	89261131
2672	0	GFI1	9606	NC_000001.9	+	92712908	92725020
2701	49296	GJA4	9606	NC_000001.9	+	35031185	35033934
2702	49296	GJA5	9606	NC_000001.9	+	145695516	145712065
2703	0	GJA8	9606	NC_000001.9	+	145841559	145848016
2707	49297	GJB3	9606	NC_000001.9	+	35019376	35024553
2709	49297	GJB5	9606	NC_000001.9	+	34993307	34996698
2730	0	GCLM	9606	NC_000001.9	+	94125177	94147599
2752	51478	GLUL	9606	NC_000001.9	+	180618291	180627572
2773	49299	GNAI3	9606	NC_000001.9	+	109892823	109938497
2780	49299	GNAT2	9606	NC_000001.9	+	109947236	109957227
2782	49300	GNB1	9606	NC_000001.9	+	1706588	1812354
2786	49954	GNG4	9606	NC_000001.9	+	233780754	233880676
2787	49954	GNG5	9606	NC_000001.9	+	84736679	84744830
2810	49786	SFN	9606	NC_000001.9	+	27062219	27063533
2827	49415	GPR3	9606	NC_000001.9	+	27591738	27594904
2848	50093	GPR25	9606	NC_000001.9	+	199108788	199109873
2882	0	GPX7	9606	NC_000001.9	+	52840631	52847309
2899	49307	GRIK3	9606	NC_000001.9	+	37039200	37272430
2944	49314	GSTM1	9606	NC_000001.9	+	110031964	110037889
2946	49314	GSTM2	9606	NC_000001.9	+	110012213	110019430
2947	49314	GSTM3	9606	NC_000001.9	+	110078076	110084562
2948	49314	GSTM4	9606	NC_000001.9	+	110000225	110009647
2949	49314	GSTM5	9606	NC_000001.9	+	110056387	110062410
2959	0	GTF2B	9606	NC_000001.9	+	89091202	89129841
2980	0	GUCA2A	9606	NC_000001.9	+	42400948	42402981
2981	0	GUCA2B	9606	NC_000001.9	+	42391678	42394081
2987	0	GUK1	9606	NC_000001.9	+	226394604	226403274
3020	49326	H3F3A	9606	NC_000001.9	+	224317043	224326325
3061	49849	HCRTR1	9606	NC_000001.9	+	31857227	31865300
3065	49850	HDAC1	9606	NC_000001.9	+	32530294	32571810
3068	49960	HDGF	9606	NC_000001.9	+	154978525	154988159
3075	0	CFH	9606	NC_000001.9	+	194887763	194983256
3078	50125	CFHR1	9606	NC_000001.9	+	195055520	195067943
3080	50125	CFHR2	9606	NC_000001.9	+	195179556	195194978
3104	0	ZBTB48	9606	NC_000001.9	+	6562697	6571925
3140	49089	MR1	9606	NC_000001.9	+	179269761	179291255
3142	0	HLX1	9606	NC_000001.9	+	219119381	219125017
3151	54305	HMGN2	9606	NC_000001.9	+	26671500	26675049
3155	0	HMGCL	9606	NC_000001.9	+	24000953	24024535
3158	50134	HMGCS2	9606	NC_000001.9	+	120092524	120113040
3192	51127	HNRPU	9606	NC_000001.9	+	243080224	243094449
3208	49124	HPCA	9606	NC_000001.9	+	33124684	33132833
3272	0	HRES1	9606	NC_000001.9	+	227473293	227473968
3283	49343	HSD3B1	9606	NC_000001.9	+	119851373	119859196
3284	49343	HSD3B2	9606	NC_000001.9	+	119759295	119767173
3290	50136	HSD11B1	9606	NC_000001.9	+	207926172	207974917
3310	0	HSPA6	9606	NC_000001.9	+	159760659	159763310
3311	0	HSPA7	9606	NC_000001.9	+	159841462	159844964
3321	52993	IGSF3	9606	NC_000001.9	+	116918553	117011836
3322	0	HSP90AA3P	9606	NC_000001.9	+	156760084	156762893
3339	0	HSPG2	9606	NC_000001.9	+	22021323	22136336
3352	49223	HTR1D	9606	NC_000001.9	+	23390974	23393808
3362	0	HTR6	9606	NC_000001.9	+	19864366	19878641
3399	52227	ID3	9606	NC_000001.9	+	23757042	23758871
3428	0	IFI16	9606	NC_000001.9	+	157246331	157291564
3491	49198	CYR61	9606	NC_000001.9	+	85819047	85821977
3570	0	IL6R	9606	NC_000001.9	+	152644292	152706811
3586	0	IL10	9606	NC_000001.9	+	205007570	205012461
3595	0	IL12RB2	9606	NC_000001.9	+	67545634	67635170
3604	0	TNFRSF9	9606	NC_000001.9	+	7902493	7923473
3608	0	ILF2	9606	NC_000001.9	+	151901137	151910102
3633	0	INPP5B	9606	NC_000001.9	+	38098955	38185279
3645	49852	INSRR	9606	NC_000001.9	+	155077288	155095289
3652	49455	IPP	9606	NC_000001.9	+	45936976	45984719
3664	49352	IRF6	9606	NC_000001.9	+	208027884	208046101
3707	0	ITPKB	9606	NC_000001.9	+	224886013	224991817
3713	52687	IVL	9606	NC_000001.9	+	151147662	151150985
3716	49376	JAK1	9606	NC_000001.9	+	65072795	65124573
3725	49970	JUN	9606	NC_000001.9	+	59019050	59022372
3737	49378	KCNA2	9606	NC_000001.9	+	110947298	110949867
3738	49378	KCNA3	9606	NC_000001.9	+	111015832	111019177
3744	49378	KCNA10	9606	NC_000001.9	+	110861361	110863319
3749	49378	KCNC4	9606	NC_000001.9	+	110555587	110578188
3752	50760	KCND3	9606	NC_000001.9	+	112119976	112333299
3756	49380	KCNH1	9606	NC_000001.9	+	208923177	209374079
3765	49381	KCNJ9	9606	NC_000001.9	+	158317983	158325835
3766	49381	KCNJ10	9606	NC_000001.9	+	158274656	158306584
3775	0	KCNK1	9606	NC_000001.9	+	231816372	231874606
3776	51192	KCNK2	9606	NC_000001.9	+	213245764	213477058
3782	0	KCNN3	9606	NC_000001.9	+	152946525	153109377
3814	0	KISS1	9606	NC_000001.9	+	202426091	202432236
3898	51517	LAD1	9606	NC_000001.9	+	199616588	199635291
3914	53103	LAMB3	9606	NC_000001.9	+	207854837	207892442
3915	50766	LAMC1	9606	NC_000001.9	+	181259175	181381349
3918	50141	LAMC2	9606	NC_000001.9	+	181422021	181480661
3925	50142	STMN1	9606	NC_000001.9	+	26099193	26105954
3930	52393	LBR	9606	NC_000001.9	+	223655826	223683141
3932	49105	LCK	9606	NC_000001.9	+	32489519	32524347
3953	0	LEPR	9606	NC_000001.9	+	65658905	65875409
3964	49399	LGALS8	9606	NC_000001.9	+	234748187	234779618
4000	50145	LMNA	9606	NC_000001.9	+	154351121	154376494
4009	0	LMX1A	9606	NC_000001.9	+	163437728	163591640
4014	0	LOR	9606	NC_000001.9	+	151498823	151501221
4063	0	LY9	9606	NC_000001.9	+	159032551	159064668
4070	49406	TACSTD2	9606	NC_000001.9	+	58813230	58816032
4116	49410	MAGOH	9606	NC_000001.9	+	53465151	53476794
4139	52307	MARK1	9606	NC_000001.9	+	218768190	218903894
4146	49413	MATN1	9606	NC_000001.9	+	30958582	30969473
4170	0	MCL1	9606	NC_000001.9	+	148813657	148818759
4179	51918	CD46	9606	NC_000001.9	+	205992024	206035480
4184	0	SMCP	9606	NC_000001.9	+	151117421	151124146
4194	0	MDM4	9606	NC_000001.9	+	202752133	202786348
4209	50147	MEF2D	9606	NC_000001.9	+	154700142	154737152
4237	49419	MFAP2	9606	NC_000001.9	+	17173583	17180667
4259	0	MGST3	9606	NC_000001.9	+	163867073	163891480
4332	49429	MNDA	9606	NC_000001.9	+	157067791	157085893
4343	0	MOV10	9606	NC_000001.9	+	113018989	113044883
4352	0	MPL	9606	NC_000001.9	+	43576061	43592721
4359	0	MPZ	9606	NC_000001.9	+	159541150	159546376
4438	0	MSH4	9606	NC_000001.9	+	76035217	76151510
4520	0	MTF1	9606	NC_000001.9	+	38052437	38097819
4524	0	MTHFR	9606	NC_000001.9	+	11768373	11788701
4548	0	MTR	9606	NC_000001.9	+	235025340	235130584
4580	52460	MTX1	9606	NC_000001.9	+	153445113	153450248
4581	0	MTX1P	9606	NC_000001.9	+	153467390	153470850
4582	53119	MUC1	9606	NC_000001.9	+	153424923	153429323
4595	0	MUTYH	9606	NC_000001.9	+	45567500	45578646
4608	0	MYBPH	9606	NC_000001.9	+	201403561	201411564
4610	0	MYCL1	9606	NC_000001.9	+	40133684	40140273
4653	49866	MYOC	9606	NC_000001.9	+	169871179	169888395
4656	0	MYOG	9606	NC_000001.9	+	201318882	201321788
4660	49445	PPP1R12B	9606	NC_000001.9	+	200584458	200824319
4678	51969	NASP	9606	NC_000001.9	+	45822303	45857153
4681	50105	NBL1	9606	NC_000001.9	+	19842312	19857531
4688	0	NCF2	9606	NC_000001.9	+	181791319	181826338
4720	0	NDUFS2	9606	NC_000001.9	+	159435728	159450808
4725	0	NDUFS5	9606	NC_000001.9	+	39264592	39272873
4751	0	NEK2	9606	NC_000001.9	+	209902744	209915589
4774	52155	NFIA	9606	NC_000001.9	+	61320880	61694623
4802	0	NFYC	9606	NC_000001.9	+	40929952	41009859
4803	49457	NGFB	9606	NC_000001.9	+	115630059	115682379
4807	0	NHLH1	9606	NC_000001.9	+	158603497	158609228
4808	0	NHLH2	9606	NC_000001.9	+	116180520	116185269
4811	49450	NID1	9606	NC_000001.9	+	234206733	234303705
4817	50151	NIT1	9606	NC_000001.9	+	159354514	159357480
4853	49868	NOTCH2	9606	NC_000001.9	+	120255698	120413798
4878	0	NPPA	9606	NC_000001.9	+	11828362	11830421
4879	0	NPPB	9606	NC_000001.9	+	11840107	11841578
4881	49320	NPR1	9606	NC_000001.9	+	151917736	151933087
4893	49454	NRAS	9606	NC_000001.9	+	115051107	115061037
4898	0	NRD1	9606	NC_000001.9	+	52027469	52117009
4904	0	YBX1	9606	NC_000001.9	+	42920710	42940607
4914	49881	NTRK1	9606	NC_000001.9	+	155052165	155118265
4919	50054	ROR1	9606	NC_000001.9	+	64012301	64417294
4921	52434	DDR2	9606	NC_000001.9	+	160868851	161016878
4931	52714	NVL	9606	NC_000001.9	+	222481658	222584494
4985	49038	OPRD1	9606	NC_000001.9	+	29011240	29062794
4998	0	ORC1L	9606	NC_000001.9	+	52611088	52642718
5016	0	OVGP1	9606	NC_000001.9	+	111758459	111771921
5051	50000	PAFAH2	9606	NC_000001.9	+	26159901	26197234
5052	49473	PRDX1	9606	NC_000001.9	+	45749293	45760195
5081	49476	PAX7	9606	NC_000001.9	+	18830086	18935218
5087	49478	PBX1	9606	NC_000001.9	+	162795560	163082933
5129	50238	PCTK3	9606	NC_000001.9	+	203740349	203768540
5132	0	PDC	9606	NC_000001.9	+	184679336	184696861
5142	49482	PDE4B	9606	NC_000001.9	+	66030780	66612849
5174	54113	PDZK1	9606	NC_000001.9	+	144439082	144475429
5192	49492	PEX10	9606	NC_000001.9	+	2326100	2333869
5195	0	PEX14	9606	NC_000001.9	+	10457605	10613399
5202	0	PFDN2	9606	NC_000001.9	+	159336969	159354489
5208	49494	PFKFB2	9606	NC_000001.9	+	205293242	205320990
5226	0	PGD	9606	NC_000001.9	+	10381671	10402787
5236	50908	PGM1	9606	NC_000001.9	+	63831534	63898503
5279	49503	PIGC	9606	NC_000001.9	+	170677219	170679852
5284	0	PIGR	9606	NC_000001.9	+	205168494	205186429
5287	0	PIK3C2B	9606	NC_000001.9	+	202658383	202726096
5293	50239	PIK3CD	9606	NC_000001.9	+	9634389	9711563
5298	0	PIK4CB	9606	NC_000001.9	+	149531036	149565347
5301	0	PIN1L	9606	NC_000001.9	+	70157592	70158795
5313	50838	PKLR	9606	NC_000001.9	+	153526253	153537834
5317	52945	PKP1	9606	NC_000001.9	+	199519202	199568739
5320	49510	PLA2G2A	9606	NC_000001.9	+	20174517	20179495
5321	0	PLA2G4A	9606	NC_000001.9	+	185064727	185224735
5322	49510	PLA2G5	9606	NC_000001.9	+	20269424	20290239
5351	49520	PLOD1	9606	NC_000001.9	+	11917332	11958180
5362	52065	PLXNA2	9606	NC_000001.9	+	206266841	206483738
5394	49523	EXOSC10	9606	NC_000001.9	+	11049261	11082524
5396	50337	PRRX1	9606	NC_000001.9	+	168899936	168975164
5451	0	POU2F1	9606	NC_000001.9	+	165456766	165651965
5453	49528	POU3F1	9606	NC_000001.9	+	38282864	38285036
5489	0	PPIAP7	9606	NC_000001.9	+	101508769	101509638
5498	0	PPOX	9606	NC_000001.9	+	159402817	159407633
5511	0	PPP1R8	9606	NC_000001.9	+	28029879	28050769
5512	0	PPP1R8P	9606	NC_000001.9	+	48563232	48564404
5525	50246	PPP2R5A	9606	NC_000001.9	+	210525501	210601827
5538	0	PPT1	9606	NC_000001.9	+	40310968	40335554
5546	52540	PRCC	9606	NC_000001.9	+	155003897	155037232
5549	49099	PRELP	9606	NC_000001.9	+	201711505	201727102
5563	52749	PRKAA2	9606	NC_000001.9	+	56883607	56946708
5565	50108	PRKAB2	9606	NC_000001.9	+	145093308	145110752
5567	49041	PRKACB	9606	NC_000001.9	+	84316332	84476768
5586	50248	PKN2	9606	NC_000001.9	+	88922843	89072009
5590	49041	PRKCZ	9606	NC_000001.9	+	1971768	2106693
5629	0	PROX1	9606	NC_000001.9	+	212228482	212276388
5664	49549	PSEN2	9606	NC_000001.9	+	225125585	225150421
5686	49551	PSMA5	9606	NC_000001.9	+	109745994	109770559
5690	0	PSMB2	9606	NC_000001.9	+	35841325	35879729
5692	0	PSMB4	9606	NC_000001.9	+	149638664	149641035
5710	0	PSMD4	9606	NC_000001.9	+	149493820	149506578
5724	49038	PTAFR	9606	NC_000001.9	+	28348424	28375777
5733	49559	PTGER3	9606	NC_000001.9	+	71090623	71286078
5737	49559	PTGFR	9606	NC_000001.9	+	78729315	78778973
5738	0	PTGFRN	9606	NC_000001.9	+	117254211	117334494
5743	49560	PTGS2	9606	NC_000001.9	+	184907591	184916178
5768	51011	QSCN6	9606	NC_000001.9	+	178390590	178433791
5778	51398	PTPN7	9606	NC_000001.9	+	200382765	200396373
5784	50338	PTPN14	9606	NC_000001.9	+	212597633	212791264
5788	51413	PTPRC	9606	NC_000001.9	+	196874847	196992952
5792	49566	PTPRF	9606	NC_000001.9	+	43769133	43861923
5824	0	PEX19	9606	NC_000001.9	+	158513225	158521554
5825	49569	ABCD3	9606	NC_000001.9	+	94656598	94756671
5865	49454	RAB3B	9606	NC_000001.9	+	52157419	52228935
5867	49454	RAB4A	9606	NC_000001.9	+	227473501	227507140
5872	49454	RAB13	9606	NC_000001.9	+	152220750	152225429
5876	0	RABGGTB	9606	NC_000001.9	+	76024473	76033351
