>Species A	Chromosome A	Start A	End A	Species B	Chromosome B	Start B	End B	Size	P value
9606	NC_000001.9	31505106	32411379	9606	NC_000003.10	123613389	123716473	2	4.564E-3
9606	NC_000001.9	42896634	42978511	9606	NC_000003.10	139200347	139846213	2	1.767E-1
9606	NC_000001.9	42971350	43197087	9606	NC_000003.10	171619358	172227461	2	1.442E-2
9606	NC_000001.9	42971350	43005269	9606	NC_000003.10	191157315	191522908	2	3.606E-3
9606	NC_000001.9	109838244	110690825	9606	NC_000003.10	50204046	51410378	3	1.029E-6
9606	NC_000001.9	113064711	114026531	9606	NC_000003.10	65314945	69064400	3	1.029E-6
9606	NC_000001.9	154134224	154941998	9606	NC_000003.10	139574396	140741179	2	1.000E0
9606	NC_000001.9	199108788	200380488	9606	NC_000003.10	98966284	99734649	2	2.254E-2
9606	NC_000001.9	203064445	203313760	9606	NC_000003.10	213649	1420277	2	2.028E-3
9606	NC_000001.9	203572270	205320990	9606	NC_000003.10	48530120	50661722	5	6.329E-10
9606	NC_000001.9	39917231	40786424	9606	NC_000004.10	43226	665816	2	1.000E0
9606	NC_000001.9	152220750	152815706	9606	NC_000004.10	39874996	40051729	2	1.000E0
9606	NC_000001.9	226679168	226949033	9606	NC_000004.10	140594410	140839247	2	1.000E0
9606	NC_000001.9	1836125	1952049	9606	NC_000005.8	169713458	170173628	2	1.000E0
9606	NC_000001.9	43601658	45006002	9606	NC_000005.8	60083379	61717966	2	9.014E-4
9606	NC_000001.9	54464782	54873004	9606	NC_000005.8	80661838	81082827	2	9.014E-4
9606	NC_000001.9	148726543	148936256	9606	NC_000005.8	32160580	33503952	2	9.014E-4
9606	NC_000001.9	150222017	154809019	9606	NC_000005.8	75504656	77810635	4	1.375E-6
9606	NC_000001.9	200368599	200577706	9606	NC_000005.8	133734768	133996425	2	9.014E-2
9606	NC_000001.9	226070040	226353535	9606	NC_000005.8	53216370	54441817	2	2.028E-1
9606	NC_000001.9	226937491	227636465	9606	NC_000005.8	56811600	58183162	2	1.000E0
9606	NC_000002.10	10360490	10971801	9606	NC_000002.10	17585287	17977705	2	5.192E-1
9606	NC_000002.10	26110477	26717714	9606	NC_000002.10	46623378	47257153	2	1.000E0
9606	NC_000002.10	45732546	47257153	9606	NC_000003.10	52460157	53201772	2	5.769E-2
9606	NC_000002.10	95326798	96174905	9606	NC_000003.10	52059798	52463097	2	1.298E-1
9606	NC_000002.10	121695003	122123521	9606	NC_000003.10	33404834	33734851	2	9.014E-4
9606	NC_000002.10	161980865	162548488	9606	NC_000003.10	27389217	27738788	2	5.634E-3
9606	NC_000002.10	165652285	168812350	9606	NC_000003.10	38182029	39155394	3	1.029E-6
9606	NC_000002.10	197567494	200033445	9606	NC_000003.10	15683746	18440343	4	4.123E-10
9606	NC_000002.10	218698990	219818374	9606	NC_000003.10	32968069	33113633	2	9.014E-2
9606	NC_000002.10	218698990	219210147	9606	NC_000003.10	37878672	39351076	4	4.123E-8
9606	NC_000002.10	218698990	219999704	9606	NC_000003.10	133798783	134676745	2	9.014E-2
9606	NC_000002.10	233052780	233119281	9606	NC_000003.10	185253528	185493511	2	5.071E-2
9606	NC_000002.10	237143181	238177652	9606	NC_000003.10	133798783	135097128	2	1.000E0
9606	NC_000002.10	237143181	238177652	9606	NC_000003.10	152398308	154368954	2	1.000E0
9606	NC_000002.10	26110477	26717714	9606	NC_000004.10	20339336	22344101	2	1.000E0
9606	NC_000002.10	26110477	26870957	9606	NC_000004.10	140594410	140839247	2	1.000E0
9606	NC_000002.10	46623378	47257153	9606	NC_000004.10	20339336	22344101	2	1.000E0
9606	NC_000002.10	69995706	70848836	9606	NC_000004.10	2218957	2901586	2	9.014E-4
9606	NC_000002.10	74235494	74423169	9606	NC_000004.10	71986927	72656662	2	1.268E-2
9606	NC_000002.10	95177126	95415551	9606	NC_000004.10	43226	665816	2	1.000E0
9606	NC_000002.10	100545858	100979718	9606	NC_000004.10	55993416	56153135	2	9.014E-4
9606	NC_000002.10	65167492	65351890	9606	NC_000005.8	56811600	58183162	2	1.000E0
9606	NC_000002.10	79593633	80729415	9606	NC_000005.8	138117005	138298621	2	2.028E-3
9606	NC_000002.10	95177126	96769527	9606	NC_000005.8	176691356	178292815	2	1.192E-1
9606	NC_000003.10	32005575	32971406	9606	NC_000003.10	44601459	46426017	2	1.000E0
9606	NC_000003.10	32005575	32971406	9606	NC_000003.10	42825979	42934135	2	1.000E0
9606	NC_000003.10	32005575	32971406	9606	NC_000003.10	39279988	40556046	2	1.000E0
9606	NC_000003.10	39279988	40556046	9606	NC_000003.10	44457409	46043982	2	1.000E0
9606	NC_000003.10	42825979	42934135	9606	NC_000003.10	44601459	46426017	2	1.000E0
9606	NC_000003.10	45903022	46481398	9606	NC_000003.10	133798783	134980324	2	9.014E-2
9606	NC_000003.10	133798783	135097128	9606	NC_000003.10	154035425	154368954	2	1.000E0
9606	NC_000003.10	152398308	154038534	9606	NC_000003.10	173645644	173911699	2	3.606E-1
9606	NC_000003.10	184688032	185307476	9606	NC_000004.10	38723053	40051729	2	3.428E-1
9606	NC_000003.10	42922405	45812965	9606	NC_000005.8	149549712	150264583	2	1.000E0
9606	NC_000003.10	50687675	52463097	9606	NC_000005.8	168996870	170096213	2	5.769E-2
9606	NC_000003.10	124110732	125192888	9606	NC_000005.8	7449344	10518137	3	2.315E-6
9606	NC_000004.10	43226	977223	9606	NC_000005.8	149220409	150264583	3	5.442E-4
9606	NC_000004.10	768744	1780395	9606	NC_000005.8	175156215	176457732	2	9.014E-4
9606	NC_000004.10	4438883	4916563	9606	NC_000005.8	173405329	174090507	2	9.014E-4
9606	NC_000004.10	5873391	8293729	9606	NC_000005.8	145949259	148701557	5	1.308E-12
9606	NC_000004.10	19864332	21155376	9606	NC_000005.8	168025856	170096213	2	5.769E-2
9606	NC_000004.10	45732542	47290259	9606	NC_000005.8	159922704	161515105	2	1.825E-2
9606	NC_000004.10	47713547	47925432	9606	NC_000005.8	156540484	156834307	2	3.606E-3
9606	NC_000004.10	72423680	74343365	9606	NC_000005.8	139719978	139909346	2	5.634E-3
9606	NC_000004.10	99612420	100070138	9606	NC_000005.8	176002748	176018664	2	8.113E-3
9606	NC_000004.10	114593020	116254480	9606	NC_000005.8	149579247	149917965	2	2.028E-3
9606	NC_000004.10	119174947	120769428	9606	NC_000005.8	149220409	150039117	3	2.315E-6
9606	NC_000004.10	141529056	142274065	9606	NC_000005.8	179058535	179431714	3	1.029E-6
9606	NC_000004.10	166348237	168392315	9606	NC_000005.8	136338885	137099361	2	3.809E-2
9606	NC_000004.10	183482130	184476896	9606	NC_000005.8	166644420	167829341	2	9.014E-4
9606	NC_000004.10	185913742	186693649	9606	NC_000005.8	131317050	131637045	2	2.028E-3
