#Synteny information download from ensemble. 
#Oraganism A	Chromosome A	Start A	End A	Oraganism B	Chromosome B	Start B	End B	Syteny ID
Homo sapiens	11	51234426	51395633	Mus musculus	2	89417509	89789263	32925
Homo sapiens	11	54837159	57510434	Mus musculus	2	84322889	89476177	32926
Homo sapiens	11	57632695	68466298	Mus musculus	19	3259831	13937570	32927
Homo sapiens	11	68484719	70890622	Mus musculus	7	150980976	152508596	32928
Homo sapiens	11	71304680	88990549	Mus musculus	7	94258787	109226497	32929
Homo sapiens	11	89500181	106941849	Mus musculus	9	3335322	18202752	32930
Homo sapiens	11	106957827	134348749	Mus musculus	9	25880811	53831242	32931
Homo sapiens	12	19128	2693927	Mus musculus	6	118524276	121450302	32932
Homo sapiens	12	2773381	9055139	Mus musculus	6	122219272	128389766	32933
Homo sapiens	12	9792632	32428701	Mus musculus	6	129210184	149512021	32934
Homo sapiens	12	32526186	32946028	Mus musculus	16	16210137	16575303	32935
Homo sapiens	12	33367800	53335723	Mus musculus	15	89563877	103435732	32936
Homo sapiens	12	53637858	102875637	Mus musculus	10	86147576	129801366	32937
Homo sapiens	12	102883439	106701067	Mus musculus	10	82092328	85397096	32938
Homo sapiens	12	106849487	108970803	Mus musculus	5	113798218	115273576	32939
Homo sapiens	12	108973176	119981920	Mus musculus	5	115347600	123102913	32940
Homo sapiens	12	120031825	130902514	Mus musculus	5	123076246	130112880	32941
Homo sapiens	12	130944944	132032615	Mus musculus	5	110540767	111239333	32942
Homo sapiens	13	19105279	22268461	Mus musculus	14	57286636	59733415	32943
Homo sapiens	13	22751398	23794355	Mus musculus	14	61054965	61851455	32944
Homo sapiens	13	24086452	24405636	Mus musculus	14	56928136	57203480	32945
Homo sapiens	13	24494481	25566986	Mus musculus	14	60222859	61124805	32946
Homo sapiens	13	25682894	33158463	Mus musculus	5	147017095	152236442	32947
Homo sapiens	13	33361185	40152213	Mus musculus	3	52059615	56995963	32948
Homo sapiens	13	40367941	48697060	Mus musculus	14	72928371	80019334	32949
Homo sapiens	13	48719991	49059405	Mus musculus	14	59818720	60216853	32950
Homo sapiens	13	49092238	51254488	Mus musculus	14	61925445	63591934	32951
Homo sapiens	13	51333460	52109719	Mus musculus	8	23079510	23538522	32952
Homo sapiens	13	52124034	101887582	Mus musculus	14	79986707	125114825	32953
Homo sapiens	13	102035606	102331915	Mus musculus	1	43973886	44277004	32954
Homo sapiens	13	102331916	114111032	Mus musculus	8	4784449	13882143	32955
Homo sapiens	14	19281126	24057192	Mus musculus	14	50759128	56574091	32956
Homo sapiens	14	24110379	24219799	Mus musculus	14	56716579	56924074	32957
Homo sapiens	14	24227002	51320924	Mus musculus	12	45737565	72027412	32958
Homo sapiens	14	51341805	51670516	Mus musculus	14	20524322	20869924	32959
Homo sapiens	14	51758385	57699647	Mus musculus	14	45475945	50412362	32960
Homo sapiens	14	57736365	105446924	Mus musculus	12	72038748	114763631	32961
Homo sapiens	15	20384663	20948403	Mus musculus	7	63049274	63444253	32962
Homo sapiens	15	21357655	26259662	Mus musculus	7	63305319	69569277	32963
Homo sapiens	15	26996861	30365886	Mus musculus	7	70124311	72783760	32964
Homo sapiens	15	30694279	49085465	Mus musculus	2	112078690	126895218	32965
Homo sapiens	15	49136914	49729794	Mus musculus	9	53874456	54375868	32966
Homo sapiens	15	49749100	73815792	Mus musculus	9	56689059	75546932	32967
Homo sapiens	15	73878649	76790265	Mus musculus	9	54376291	56742179	32968
Homo sapiens	15	76830033	77983894	Mus musculus	9	89097482	90102095	32969
Homo sapiens	15	78040453	83483418	Mus musculus	7	88001633	91916292	32970
Homo sapiens	15	83630661	88616619	Mus musculus	7	82506213	87410438	32971
Homo sapiens	15	88659847	89366916	Mus musculus	7	87414441	88000621	32972
Homo sapiens	15	89394062	100083393	Mus musculus	7	72788108	82516181	32973
Homo sapiens	16	162880	3148491	Mus musculus	17	23683780	26425884	32974
Homo sapiens	16	3223711	15104832	Mus musculus	16	3698191	13932851	32975
Homo sapiens	16	15167826	15276771	Mus musculus	7	123753234	123929311	32976
Homo sapiens	16	15386375	16094915	Mus musculus	16	13940610	14452822	32977
Homo sapiens	16	16160316	16296175	Mus musculus	7	53237037	53339588	32978
Homo sapiens	16	16589091	18232691	Mus musculus	7	123753234	125251367	32979
Homo sapiens	16	18515657	21259164	Mus musculus	7	125103525	127486220	32980
Homo sapiens	16	21480256	28247025	Mus musculus	7	127776084	133441307	32981
Homo sapiens	16	28298346	28938449	Mus musculus	7	133494899	133839138	32982
Homo sapiens	16	29568507	31428249	Mus musculus	7	133814769	135444817	32983
Homo sapiens	16	45250774	68533606	Mus musculus	8	87782679	110082875	32984
Homo sapiens	16	68667028	88637531	Mus musculus	8	110099639	126060687	32985
Homo sapiens	17	2	4478790	Mus musculus	11	72181062	76562478	32986
Homo sapiens	17	4480203	16413676	Mus musculus	11	61940866	72185394	32987
Homo sapiens	17	16857983	21283710	Mus musculus	11	59443107	62718398	32988
Homo sapiens	17	22637247	25878027	Mus musculus	11	76540043	79073666	32989
Homo sapiens	17	26082503	33272758	Mus musculus	11	79119217	84759762	32990
Homo sapiens	17	33605725	40994605	Mus musculus	11	97096359	103488690	32991
Homo sapiens	17	41062529	42505590	Mus musculus	11	103265115	104341027	32992
Homo sapiens	17	42543645	42873435	Mus musculus	11	104359373	104621957	32993
Homo sapiens	17	42915333	57680980	Mus musculus	11	84746599	97185287	32994
Homo sapiens	17	57730656	60190849	Mus musculus	11	104893203	106943619	32995
Homo sapiens	17	60193804	60334980	Mus musculus	11	103210342	103488690	32996
Homo sapiens	17	60379381	63615688	Mus musculus	11	106774362	109319805	32997
Homo sapiens	17	63735802	78652610	Mus musculus	11	109274991	121585580	32998
Homo sapiens	18	102543	571989	Mus musculus	18	9616527	10072841	32999
Homo sapiens	18	673166	834532	Mus musculus	5	32881560	33015506	33000
Homo sapiens	18	851722	2524400	Mus musculus	17	93553683	95124153	33001
Homo sapiens	18	2524401	9962541	Mus musculus	17	65908827	71900821	33002
Homo sapiens	18	10192644	11508916	Mus musculus	18	62863317	63794282	33003
Homo sapiens	18	11639353	13861680	Mus musculus	18	67204713	68564277	33004
Homo sapiens	18	15006525	15145234	Mus musculus	16	86495095	86676655	33005
Homo sapiens	18	16782603	39327891	Mus musculus	18	10062977	31735646	33006
Homo sapiens	18	39609912	52395817	Mus musculus	18	68653110	80176116	33007
Homo sapiens	18	52418922	56352566	Mus musculus	18	63821671	67164747	33008
Homo sapiens	18	56502883	63479573	Mus musculus	1	105695593	113962311	33009
Homo sapiens	18	64490741	76111592	Mus musculus	18	80236491	90713494	33010
Homo sapiens	19	232181	4124052	Mus musculus	10	78989698	81060631	33011
Homo sapiens	19	4180082	6813967	Mus musculus	17	56091900	57474375	33012
Homo sapiens	19	7063183	7977013	Mus musculus	8	3150854	4325575	33013
Homo sapiens	19	8272687	8672022	Mus musculus	17	33567980	33985993	33014
Homo sapiens	19	8780008	11550880	Mus musculus	9	18258005	21936407	33015
Homo sapiens	19	12659316	14544008	Mus musculus	8	86090536	87592226	33016
Homo sapiens	19	14913169	15129194	Mus musculus	10	77971337	78310783	33017
Homo sapiens	19	15131296	15669207	Mus musculus	17	32257628	32840167	33018
Homo sapiens	19	16038319	19635937	Mus musculus	8	72314725	75287362	33019
Homo sapiens	19	33281520	34777202	Mus musculus	7	46851981	48211718	33020
Homo sapiens	19	34788543	49552791	Mus musculus	7	24897283	39056820	33021
Homo sapiens	19	49701850	53399512	Mus musculus	7	13834117	20575571	33022
Homo sapiens	19	53491829	56613769	Mus musculus	7	50663130	53204276	33023
Homo sapiens	19	59060727	62177096	Mus musculus	7	3288114	6797558	33024
Homo sapiens	19	63215607	63781364	Mus musculus	7	13279231	13640795	33025
Homo sapiens	2	130908	9195769	Mus musculus	12	25408865	31694213	33026
Homo sapiens	2	9272174	9912252	Mus musculus	12	21123604	21560549	33027
Homo sapiens	2	9913552	10202368	Mus musculus	12	25195873	25402927	33028
Homo sapiens	2	10220460	26215447	Mus musculus	12	3246833	17769726	33029
Homo sapiens	2	26247970	28877966	Mus musculus	5	30430992	32795582	33030
Homo sapiens	2	28887024	51553101	Mus musculus	17	71901236	92075815	33031
Homo sapiens	2	51563491	53135688	Mus musculus	17	92086545	93481010	33032
Homo sapiens	2	53736447	68548230	Mus musculus	11	16851092	31006366	33033
Homo sapiens	2	68611864	70882783	Mus musculus	6	85962647	87602731	33034
Homo sapiens	2	70885951	86948630	Mus musculus	6	71257504	85653194	33035
Homo sapiens	2	87230361	87777186	Mus musculus	2	128058204	128468535	33036
Homo sapiens	2	88083537	88955488	Mus musculus	6	70659014	71250800	33037
Homo sapiens	2	95006004	96404344	Mus musculus	2	126928209	127552441	33038
Homo sapiens	2	96514792	106186151	Mus musculus	1	36311494	43887041	33039
Homo sapiens	2	106777554	108164647	Mus musculus	17	54210407	55662140	33040
Homo sapiens	2	108431969	109760023	Mus musculus	10	57718129	58698594	33041
Homo sapiens	2	111111712	112819732	Mus musculus	2	127626519	128849850	33042
Homo sapiens	2	112914303	113366478	Mus musculus	2	128873540	129240226	33043
Homo sapiens	2	113440316	113853914	Mus musculus	2	24025261	24430383	33044
Homo sapiens	2	113887609	114038423	Mus musculus	19	24907903	25062153	33045
Homo sapiens	2	114152577	122294495	Mus musculus	1	120163392	127527362	33046
Homo sapiens	2	122302418	126064168	Mus musculus	1	115270399	119019512	33047
Homo sapiens	2	127521878	128503137	Mus musculus	18	31793142	32595589	33048
Homo sapiens	2	128565023	131631381	Mus musculus	1	34635592	36301333	33049
Homo sapiens	2	132320751	132474061	Mus musculus	16	86495095	86676655	33050
Homo sapiens	2	132854859	138324213	Mus musculus	1	127545592	132263700	33051
Homo sapiens	2	138437905	139261630	Mus musculus	2	23166835	23904993	33052
Homo sapiens	2	139781767	188103574	Mus musculus	2	39363179	84308441	33053
Homo sapiens	2	188769981	190212711	Mus musculus	1	44482523	46064334	33054
Homo sapiens	2	190214321	196301034	Mus musculus	1	46869130	53417662	33055
Homo sapiens	2	196301035	242460791	Mus musculus	1	53447143	95958047	33056
Homo sapiens	20	50147	1395942	Mus musculus	2	151319591	152325970	33057
Homo sapiens	20	1684101	25554620	Mus musculus	2	129093937	150867138	33058
Homo sapiens	20	29353257	57489609	Mus musculus	2	152354601	174740040	33059
Homo sapiens	20	57581617	62377879	Mus musculus	2	177850036	181592212	33060
Homo sapiens	21	13457124	13636231	Mus musculus	16	86495095	86646279	33061
Homo sapiens	21	14437399	42311157	Mus musculus	16	75548830	98189038	33062
Homo sapiens	21	42363571	43947371	Mus musculus	17	31090833	32202063	33063
Homo sapiens	21	44103368	46909340	Mus musculus	10	75669919	77825454	33064
Homo sapiens	22	15945811	17039988	Mus musculus	6	120413178	121221221	33065
Homo sapiens	22	17390381	20668262	Mus musculus	16	16870152	18970517	33066
Homo sapiens	22	21726488	23361504	Mus musculus	10	74415342	75332805	33067
Homo sapiens	22	23531765	27486283	Mus musculus	5	111253051	113740207	33068
Homo sapiens	22	27498591	30352116	Mus musculus	11	3025669	5442307	33069
Homo sapiens	22	30352117	30841666	Mus musculus	5	33085252	33505515	33070
Homo sapiens	22	31113299	31802414	Mus musculus	10	85401120	85979330	33071
Homo sapiens	22	31988332	34284078	Mus musculus	8	75325496	77750405	33072
Homo sapiens	22	34292897	49569304	Mus musculus	15	76817690	89424367	33073
Homo sapiens	3	36304	12872767	Mus musculus	6	103237391	115854574	33074
Homo sapiens	3	12914278	15138109	Mus musculus	6	90609507	92175468	33075
Homo sapiens	3	15220118	16282834	Mus musculus	14	32147210	32899955	33076
Homo sapiens	3	16282835	20206903	Mus musculus	17	50089148	53830729	33077
Homo sapiens	3	23011463	23114848	Mus musculus	X	155426050	155528149	33078
Homo sapiens	3	23121390	27696397	Mus musculus	14	15317554	19822946	33079
Homo sapiens	3	27728694	37236144	Mus musculus	9	110988337	118399011	33080
Homo sapiens	3	37244247	46340694	Mus musculus	9	118405224	124012490	33081
Homo sapiens	3	46410727	52321427	Mus musculus	9	106028817	110970440	33082
Homo sapiens	3	52325100	57906270	Mus musculus	14	27223015	32139421	33083
Homo sapiens	3	57968805	63984740	Mus musculus	14	8650162	14953921	33084
Homo sapiens	3	63992753	75405291	Mus musculus	6	92238951	103272166	33085
Homo sapiens	3	75948119	90392290	Mus musculus	16	62881109	75533875	33086
Homo sapiens	3	95010177	126822663	Mus musculus	16	33165276	62961893	33087
Homo sapiens	3	127207791	130521174	Mus musculus	6	87624439	90596500	33088
Homo sapiens	3	130577622	131115340	Mus musculus	6	115756983	116152342	33089
Homo sapiens	3	131414325	139836048	Mus musculus	9	99127083	105954063	33090
Homo sapiens	3	139855344	149570182	Mus musculus	9	90208626	99088414	33091
Homo sapiens	3	149897896	150447993	Mus musculus	3	19844261	20266619	33092
Homo sapiens	3	150538506	169305770	Mus musculus	3	57054365	75786685	33093
Homo sapiens	3	169339548	179588501	Mus musculus	3	20470426	31485949	33094
Homo sapiens	3	179620211	184300160	Mus musculus	3	31638346	35899674	33095
Homo sapiens	3	184448408	196807220	Mus musculus	16	19751633	31331552	33096
Homo sapiens	3	196913410	199255978	Mus musculus	16	31331921	33128467	33097
Homo sapiens	4	483106	1013731	Mus musculus	5	108741923	109138428	33098
Homo sapiens	4	1099142	3845576	Mus musculus	5	33525215	35688176	33099
Homo sapiens	4	4235644	48778369	Mus musculus	5	35798017	73846400	33100
Homo sapiens	4	52383795	89219211	Mus musculus	5	73865768	104983146	33101
Homo sapiens	4	89397722	95492123	Mus musculus	6	57456415	65123639	33102
Homo sapiens	4	95503722	119558393	Mus musculus	3	123105433	142131396	33103
Homo sapiens	4	119558636	119732171	Mus musculus	1	178585320	178718839	33104
Homo sapiens	4	119816077	120922768	Mus musculus	3	122353311	123102267	33105
Homo sapiens	4	121238141	122414137	Mus musculus	6	65414876	66464729	33106
Homo sapiens	4	122461832	141409680	Mus musculus	3	36074850	52021106	33107
Homo sapiens	4	141513310	151111779	Mus musculus	8	77809233	85967262	33108
Homo sapiens	4	151185833	163315962	Mus musculus	3	75860358	86767002	33109
Homo sapiens	4	163723474	191121651	Mus musculus	8	42482546	69921244	33110
Homo sapiens	5	244425	7988441	Mus musculus	13	68688227	74501635	33111
Homo sapiens	5	8980745	42925149	Mus musculus	15	3154529	32689145	33112
Homo sapiens	5	43482055	46154271	Mus musculus	13	118184614	120284309	33113
Homo sapiens	5	49605753	68958182	Mus musculus	13	101200011	118182625	33114
Homo sapiens	5	70301313	84407665	Mus musculus	13	88007425	101285203	33115
Homo sapiens	5	84602026	96170139	Mus musculus	13	74776754	87624367	33116
Homo sapiens	5	96228072	98433139	Mus musculus	17	15717562	17789880	33117
Homo sapiens	5	98463303	101669579	Mus musculus	1	96025032	98772475	33118
Homo sapiens	5	101943204	102756310	Mus musculus	1	99434920	100251463	33119
Homo sapiens	5	102787214	110090920	Mus musculus	17	59011923	65890677	33120
Homo sapiens	5	110308019	112324780	Mus musculus	18	32852817	34566094	33121
Homo sapiens	5	112338635	130367251	Mus musculus	18	44535452	60318263	33122
Homo sapiens	5	130511931	134091526	Mus musculus	11	51505739	54686270	33123
Homo sapiens	5	134101377	137118837	Mus musculus	13	55723981	58230739	33124
Homo sapiens	5	137252984	147604967	Mus musculus	18	34568997	44280612	33125
Homo sapiens	5	147627567	150157369	Mus musculus	18	60633368	62776193	33126
Homo sapiens	5	150361904	154311182	Mus musculus	11	54692867	57987430	33127
Homo sapiens	5	154405900	171864918	Mus musculus	11	32202764	48512308	33128
Homo sapiens	5	171879357	172654955	Mus musculus	17	26469509	27034357	33129
Homo sapiens	5	172668244	173596205	Mus musculus	11	31248912	32042325	33130
Homo sapiens	5	173685033	176972217	Mus musculus	13	53549876	55714646	33131
Homo sapiens	5	177463969	180517850	Mus musculus	11	48923136	51472808	33132
Homo sapiens	6	126261	20168777	Mus musculus	13	30651921	48564221	33133
Homo sapiens	6	20173202	28610782	Mus musculus	13	21378234	30370483	33134
Homo sapiens	6	29625459	33405196	Mus musculus	17	34042414	37338800	33135
Homo sapiens	6	33467155	39166036	Mus musculus	17	27053729	31077825	33136
Homo sapiens	6	39189181	39374464	Mus musculus	14	20898691	21067810	33137
Homo sapiens	6	39374476	49725976	Mus musculus	17	40939711	50081698	33138
Homo sapiens	6	49904088	52676662	Mus musculus	1	18096048	21288305	33139
Homo sapiens	6	52778263	55892536	Mus musculus	9	75566149	78153316	33140
Homo sapiens	6	56331833	58794180	Mus musculus	1	32854147	34467402	33141
Homo sapiens	6	62025138	73977589	Mus musculus	1	21348570	32976173	33142
Homo sapiens	6	74161109	86411322	Mus musculus	9	78243512	88378747	33143
Homo sapiens	6	87850606	100351734	Mus musculus	4	21360926	34856730	33144
Homo sapiens	6	100652700	117029850	Mus musculus	10	33712673	51134360	33145
Homo sapiens	6	117154370	123193134	Mus musculus	10	51288756	57555878	33146
Homo sapiens	6	123331609	155039536	Mus musculus	10	3012077	33368598	33147
Homo sapiens	6	155094775	159943902	Mus musculus	17	3113738	8124857	33148
Homo sapiens	6	160023022	167472060	Mus musculus	17	7184739	13208514	33149
Homo sapiens	6	167823994	170735679	Mus musculus	17	13807524	15664308	33150
Homo sapiens	7	264287	6738174	Mus musculus	5	139196217	144798574	33151
Homo sapiens	7	7099521	12503354	Mus musculus	6	7726454	13231261	33152
Homo sapiens	7	12528277	19715335	Mus musculus	12	34114332	40894269	33153
Homo sapiens	7	19727726	22495418	Mus musculus	12	118641972	121257527	33154
Homo sapiens	7	22561831	22739189	Mus musculus	5	30144036	30347124	33155
Homo sapiens	7	22869651	23207201	Mus musculus	5	23370332	23688787	33156
Homo sapiens	7	23220560	33069771	Mus musculus	6	48961985	56874728	33157
Homo sapiens	7	33100887	36460564	Mus musculus	9	22135934	25412777	33158
Homo sapiens	7	36490386	43572455	Mus musculus	13	14318369	21130488	33159
Homo sapiens	7	43872669	55285425	Mus musculus	11	5604321	16847264	33160
Homo sapiens	7	55986846	56151632	Mus musculus	5	130221165	130389643	33161
Homo sapiens	7	66445533	71683661	Mus musculus	5	130811877	134550323	33162
Homo sapiens	7	72174242	75987763	Mus musculus	5	134556763	136526114	33163
Homo sapiens	7	76120666	76413515	Mus musculus	3	147039210	147310533	33164
Homo sapiens	7	76539913	91358965	Mus musculus	5	4187311	20984943	33165
Homo sapiens	7	91359005	92514450	Mus musculus	5	3149760	4105350	33166
Homo sapiens	7	92582268	97340053	Mus musculus	6	3291608	7643721	33167
Homo sapiens	7	97436244	99067303	Mus musculus	5	144771891	146056170	33168
Homo sapiens	7	99390777	101978853	Mus musculus	5	136530523	138785068	33169
Homo sapiens	7	102118853	104991669	Mus musculus	5	20893110	23321724	33170
Homo sapiens	7	104997474	107559421	Mus musculus	12	31812188	34082709	33171
Homo sapiens	7	107559442	111923382	Mus musculus	12	40896394	45712997	33172
Homo sapiens	7	111926155	127888876	Mus musculus	6	13235181	29229242	33173
Homo sapiens	7	127893787	128043556	Mus musculus	11	104973045	105108653	33174
Homo sapiens	7	128099218	149214196	Mus musculus	6	29230819	48498713	33175
Homo sapiens	7	149259585	149590689	Mus musculus	5	27090751	27471751	33176
Homo sapiens	7	149663400	150189590	Mus musculus	6	48516135	48941442	33177
Homo sapiens	7	150219306	156871915	Mus musculus	5	23767513	30093781	33178
Homo sapiens	7	156993324	158630662	Mus musculus	12	117315929	118530717	33179
Homo sapiens	8	581286	5346160	Mus musculus	8	14013802	17847449	33180
Homo sapiens	8	5355555	6681059	Mus musculus	8	17850245	18951493	33181
Homo sapiens	8	8146186	9677827	Mus musculus	8	35889004	37260661	33182
Homo sapiens	8	9782039	11774713	Mus musculus	14	63713413	65220882	33183
Homo sapiens	8	12623444	18003234	Mus musculus	8	37278486	42472709	33184
Homo sapiens	8	18166249	20222256	Mus musculus	8	69969306	71723806	33185
Homo sapiens	8	20250864	29207118	Mus musculus	14	65247440	72789990	33186
Homo sapiens	8	29246385	36796732	Mus musculus	8	28743520	35885099	33187
Homo sapiens	8	36839424	42527340	Mus musculus	8	23573404	28391140	33188
Homo sapiens	8	42810907	43178082	Mus musculus	8	27048883	27274681	33189
Homo sapiens	8	48368891	50027828	Mus musculus	16	14673477	16115190	33190
Homo sapiens	8	50929659	56701961	Mus musculus	1	3051239	9399511	33191
Homo sapiens	8	56918856	62858119	Mus musculus	4	3575268	9676047	33192
Homo sapiens	8	63257480	64181070	Mus musculus	4	19900400	20797757	33193
Homo sapiens	8	64238451	67478379	Mus musculus	3	16080801	19779141	33194
Homo sapiens	8	67499031	76269718	Mus musculus	1	9532908	17919552	33195
Homo sapiens	8	76360492	87125478	Mus musculus	3	3360807	15264535	33196
Homo sapiens	8	87125479	97289249	Mus musculus	4	9724742	19879469	33197
Homo sapiens	8	97316204	97443004	Mus musculus	13	67005614	67123758	33198
Homo sapiens	8	97515808	146142497	Mus musculus	15	32717008	76772860	33199
Homo sapiens	9	41374	6649223	Mus musculus	19	24907903	30262283	33200
Homo sapiens	9	7036681	27210407	Mus musculus	4	74003057	94532443	33201
Homo sapiens	9	27315073	38462099	Mus musculus	4	34896198	45880288	33202
Homo sapiens	9	38800965	41414747	Mus musculus	13	64664627	65025706	33203
Homo sapiens	9	42014091	42236762	Mus musculus	3	44133795	44328291	33204
Homo sapiens	9	43563469	43881727	Mus musculus	13	64834255	65025706	33205
Homo sapiens	9	45336783	45988065	Mus musculus	3	44122086	44328291	33206
Homo sapiens	9	65325434	65641467	Mus musculus	13	64682316	64883279	33207
Homo sapiens	9	67629737	67784553	Mus musculus	3	44169914	44328291	33208
Homo sapiens	9	68376127	81967184	Mus musculus	19	14107343	25062153	33209
Homo sapiens	9	82183341	84886898	Mus musculus	4	70307310	73457822	33210
Homo sapiens	9	85046744	85344537	Mus musculus	4	73658309	73849050	33211
Homo sapiens	9	85445943	89517486	Mus musculus	13	58263869	60869644	33212
Homo sapiens	9	90221671	96107533	Mus musculus	13	48578302	53464096	33213
Homo sapiens	9	96360778	98457490	Mus musculus	13	62938186	64414083	33214
Homo sapiens	9	99077715	122528763	Mus musculus	4	45880955	70204380	33215
Homo sapiens	9	122565898	126992756	Mus musculus	2	34660508	39082669	33216
Homo sapiens	9	126999923	130101367	Mus musculus	2	32118136	34657021	33217
Homo sapiens	9	130101368	140138977	Mus musculus	2	24459307	32115539	33218
Homo sapiens	X	8744578	9647806	Mus musculus	X	73925314	74908350	33219
Homo sapiens	X	9648235	9877528	Mus musculus	X	149044493	149246750	33220
Homo sapiens	X	10375591	23759513	Mus musculus	X	151593378	166428034	33221
Homo sapiens	X	23760230	37201778	Mus musculus	X	75694673	91664472	33222
Homo sapiens	X	37249354	47405122	Mus musculus	X	8700465	20540460	33223
Homo sapiens	X	48146958	51375722	Mus musculus	X	5528005	7913274	33224
Homo sapiens	X	53107163	56335287	Mus musculus	X	146944902	149834200	33225
Homo sapiens	X	62770445	114424151	Mus musculus	X	92243232	144030513	33226
Homo sapiens	X	114475880	114791801	Mus musculus	X	73030083	73433137	33227
Homo sapiens	X	115050793	117469139	Mus musculus	X	20977991	23384329	33228
Homo sapiens	X	117470693	139900833	Mus musculus	X	33381706	58715089	33229
Homo sapiens	X	140256808	154147425	Mus musculus	X	58730773	72823991	33230
Homo sapiens	Y	4192374	5702381	Mus musculus	X	116345574	118081340	33231
Homo sapiens	Y	13341885	13455268	Mus musculus	Y	661222	785470	33232
Homo sapiens	Y	26767906	26953418	Mus musculus	1	136676826	136835310	33233
