# Download from ensembl database through its query tool BioMart.
# 'Symbol' is Ensembl Gene ID.
# 'ID' is the numeric form of 'Symbol'.
# 'Family' is not given in original file, and we define it on our own. 
# 'Orient' is not given.
# ID	Family	Sysmbol	Species	Chromosome	Orient	Start	End
5238	7334	ENSG00000005238	Homo sapiens	9	-	35094109	35105893
5243	7173	ENSG00000005243	Homo sapiens	17	-	43458534	43470138
5249	6075	ENSG00000005249	Homo sapiens	7	-	106472375	106589491
5302	12796	ENSG00000005302	Homo sapiens	X	-	11686199	11703791
5339	16022	ENSG00000005339	Homo sapiens	16	-	3715056	3870122
5379	3092	ENSG00000005379	Homo sapiens	17	-	53733597	53760477
5381	12542	ENSG00000005381	Homo sapiens	17	-	53702216	53713295
5421	8216	ENSG00000005421	Homo sapiens	7	-	94764924	94791780
5436	2655	ENSG00000005436	Homo sapiens	2	-	75742802	75791830
5448	1427	ENSG00000005448	Homo sapiens	2	-	74502365	74506389
5469	5312	ENSG00000005469	Homo sapiens	7	-	86812947	86867045
5471	15019	ENSG00000005471	Homo sapiens	7	-	86869296	86947687
5483	5909	ENSG00000005483	Homo sapiens	7	-	104441873	104542044
5486	6526	ENSG00000005486	Homo sapiens	7	-	75346202	75356180
5513	4925	ENSG00000005513	Homo sapiens	16	-	971809	976979
5700	8129	ENSG00000005700	Homo sapiens	6	-	82936675	83014190
5810	8388	ENSG00000005810	Homo sapiens	13	-	76516794	76799180
5812	11513	ENSG00000005812	Homo sapiens	13	-	76477391	76499286
5844	13890	ENSG00000005844	Homo sapiens	16	-	30391572	30442006
5882	1370	ENSG00000005882	Homo sapiens	17	-	45527695	45543419
5884	13131	ENSG00000005884	Homo sapiens	17	-	45488730	45522843
5889	16253	ENSG00000005889	Homo sapiens	X	-	24077783	24144127
5893	4805	ENSG00000005893	Homo sapiens	X	-	119446367	119487189
5955	1058	ENSG00000005955	Homo sapiens	17	-	31974917	32020387
5961	15786	ENSG00000005961	Homo sapiens	17	-	39805076	39822399
5981	2239	ENSG00000005981	Homo sapiens	7	-	94953149	95005007
6007	10243	ENSG00000006007	Homo sapiens	16	-	19420518	19440951
6015	8487	ENSG00000006015	Homo sapiens	19	-	18560606	18564146
6016	4334	ENSG00000006016	Homo sapiens	19	-	18565047	18578660
6025	4590	ENSG00000006025	Homo sapiens	17	-	43239732	43254146
6042	11963	ENSG00000006042	Homo sapiens	17	-	28279041	28292778
6047	9276	ENSG00000006047	Homo sapiens	17	-	7132322	7138598
6059	16414	ENSG00000006059	Homo sapiens	17	-	36755870	36760590
6062	8472	ENSG00000006062	Homo sapiens	17	-	40696271	40750197
6071	14979	ENSG00000006071	Homo sapiens	11	-	17371008	17455025
6074	6868	ENSG00000006074	Homo sapiens	17	-	31415756	31422953
6075	6868	ENSG00000006075	Homo sapiens	17	-	31439718	31441619
6114	13261	ENSG00000006114	Homo sapiens	17	-	32952053	33043633
6116	2198	ENSG00000006116	Homo sapiens	16	-	24174382	24281238
6118	3153	ENSG00000006118	Homo sapiens	11	-	60448489	60461207
6125	4600	ENSG00000006125	Homo sapiens	17	-	30938395	31077547
6128	12383	ENSG00000006128	Homo sapiens	7	-	97199311	97207696
6194	13695	ENSG00000006194	Homo sapiens	16	-	3273488	3281456
6210	6843	ENSG00000006210	Homo sapiens	16	-	55963915	55976455
6282	11426	ENSG00000006282	Homo sapiens	17	-	45979519	45988210
6283	16561	ENSG00000006283	Homo sapiens	17	-	45993820	46059541
6327	11909	ENSG00000006327	Homo sapiens	16	-	3010343	3012382
6377	7383	ENSG00000006377	Homo sapiens	7	-	96473226	96478288
6432	14475	ENSG00000006432	Homo sapiens	14	-	70264605	70345641
6451	14804	ENSG00000006451	Homo sapiens	7	-	39629687	39714240
6453	480	ENSG00000006453	Homo sapiens	7	-	97760007	97868316
6459	7933	ENSG00000006459	Homo sapiens	7	-	139431015	139523210
6468	11440	ENSG00000006468	Homo sapiens	7	-	13897379	13995841
6530	13670	ENSG00000006530	Homo sapiens	7	-	140901712	141000678
6534	8538	ENSG00000006534	Homo sapiens	11	-	67534366	67553317
6555	842	ENSG00000006555	Homo sapiens	1	-	55019504	55039459
6576	2738	ENSG00000006576	Homo sapiens	7	-	77266058	77424477
6606	7127	ENSG00000006606	Homo sapiens	7	-	75236778	75257000
6607	8172	ENSG00000006607	Homo sapiens	2	-	241944384	242082928
6611	2820	ENSG00000006611	Homo sapiens	11	-	17467090	17522539
6625	11838	ENSG00000006625	Homo sapiens	7	-	30502764	30510977
6634	596	ENSG00000006634	Homo sapiens	7	-	87343480	87376792
6638	3764	ENSG00000006638	Homo sapiens	19	-	3545504	3557658
6652	10429	ENSG00000006652	Homo sapiens	7	-	111877751	111903480
6695	59	ENSG00000006695	Homo sapiens	17	-	13913444	14052712
6704	4252	ENSG00000006704	Homo sapiens	7	-	73506056	73654846
6712	4466	ENSG00000006712	Homo sapiens	19	-	44568115	44573640
6715	10658	ENSG00000006715	Homo sapiens	7	-	38730068	38915325
6740	15545	ENSG00000006740	Homo sapiens	17	-	12633581	12835685
6744	6054	ENSG00000006744	Homo sapiens	17	-	12836435	12862063
6747	5775	ENSG00000006747	Homo sapiens	7	-	12576870	12659250
6788	16533	ENSG00000006788	Homo sapiens	17	-	10132108	10217047
6831	10198	ENSG00000006831	Homo sapiens	12	-	1670454	1768105
6837	13967	ENSG00000006837	Homo sapiens	5	-	133662010	133730664
7001	6001	ENSG00000007001	Homo sapiens	2	-	158666628	158700724
7038	13883	ENSG00000007038	Homo sapiens	16	-	2807165	2811721
7047	15942	ENSG00000007047	Homo sapiens	19	-	50446390	50500381
7062	2236	ENSG00000007062	Homo sapiens	4	-	15574385	15694766
7080	794	ENSG00000007080	Homo sapiens	19	-	17908217	17915783
7168	1977	ENSG00000007168	Homo sapiens	17	-	2443686	2535638
7171	14562	ENSG00000007171	Homo sapiens	17	-	23107922	23151682
7174	15066	ENSG00000007174	Homo sapiens	17	-	11442473	11813856
7202	972	ENSG00000007202	Homo sapiens	17	-	23965586	23996300
7216	13508	ENSG00000007216	Homo sapiens	17	-	23824791	23848514
7237	10811	ENSG00000007237	Homo sapiens	17	-	9754651	10042593
7255	8018	ENSG00000007255	Homo sapiens	19	-	50358027	50373325
7264	14099	ENSG00000007264	Homo sapiens	19	-	3728968	3752810
7312	6922	ENSG00000007312	Homo sapiens	17	-	59359832	59363446
7314	16562	ENSG00000007314	Homo sapiens	17	-	59369646	59404010
7341	2395	ENSG00000007341	Homo sapiens	1	-	112867666	112963563
7350	13416	ENSG00000007350	Homo sapiens	X	-	153177345	153211894
7372	5799	ENSG00000007372	Homo sapiens	11	-	31766868	31796085
7376	11821	ENSG00000007376	Homo sapiens	16	-	774976	778384
7384	1171	ENSG00000007384	Homo sapiens	16	-	48059	62591
7392	5015	ENSG00000007392	Homo sapiens	16	-	178971	219463
7402	5097	ENSG00000007402	Homo sapiens	3	-	50375237	50516032
7516	10637	ENSG00000007516	Homo sapiens	16	-	1323655	1339441
7520	12621	ENSG00000007520	Homo sapiens	16	-	1339244	1341876
7541	8434	ENSG00000007541	Homo sapiens	16	-	560005	574109
7545	11367	ENSG00000007545	Homo sapiens	16	-	1602339	1667910
7866	8818	ENSG00000007866	Homo sapiens	6	-	35549354	35572790
7908	15900	ENSG00000007908	Homo sapiens	1	-	167958406	167969803
7923	7248	ENSG00000007923	Homo sapiens	1	-	6616818	6684466
7933	13399	ENSG00000007933	Homo sapiens	1	-	169326660	169353583
7944	11965	ENSG00000007944	Homo sapiens	6	-	16237296	16256458
7952	12490	ENSG00000007952	Homo sapiens	X	-	99984978	100015990
7968	8160	ENSG00000007968	Homo sapiens	1	-	23705509	23730300
8018	489	ENSG00000008018	Homo sapiens	6	-	170686133	170704325
8056	15651	ENSG00000008056	Homo sapiens	X	-	47316244	47364200
8083	1098	ENSG00000008083	Homo sapiens	6	-	15354506	15630232
8086	5412	ENSG00000008086	Homo sapiens	X	-	18353646	18581668
8118	16234	ENSG00000008118	Homo sapiens	1	-	207823668	207853906
8128	14072	ENSG00000008128	Homo sapiens	1	-	1624029	1645637
8130	2215	ENSG00000008130	Homo sapiens	1	-	1672531	1701368
8196	11994	ENSG00000008196	Homo sapiens	6	-	50894398	50923285
8197	11987	ENSG00000008197	Homo sapiens	6	-	50789216	50848705
8226	5665	ENSG00000008226	Homo sapiens	3	-	38055700	38139233
8256	6917	ENSG00000008256	Homo sapiens	7	-	6167939	6278800
8277	15616	ENSG00000008277	Homo sapiens	7	-	87401394	87670140
8282	12420	ENSG00000008282	Homo sapiens	7	-	105518194	105540293
8283	1052	ENSG00000008283	Homo sapiens	17	-	58863400	58877454
8294	10524	ENSG00000008294	Homo sapiens	17	-	46397083	46553200
8300	16235	ENSG00000008300	Homo sapiens	3	-	48637835	48684985
8311	6312	ENSG00000008311	Homo sapiens	7	-	121503423	121571504
8323	7893	ENSG00000008323	Homo sapiens	12	-	6289863	6307910
8324	5196	ENSG00000008324	Homo sapiens	3	-	42607296	42611490
8382	6630	ENSG00000008382	Homo sapiens	19	-	4294556	4311060
8394	169	ENSG00000008394	Homo sapiens	12	-	16391343	16408631
8405	1319	ENSG00000008405	Homo sapiens	12	-	105909289	106011737
8438	10367	ENSG00000008438	Homo sapiens	19	-	51214255	51218144
8441	2713	ENSG00000008441	Homo sapiens	19	-	12967584	13070610
8513	4132	ENSG00000008513	Homo sapiens	8	-	134540327	134653344
8516	14875	ENSG00000008516	Homo sapiens	16	-	3036683	3050728
8710	5484	ENSG00000008710	Homo sapiens	16	-	2078712	2125900
8735	10350	ENSG00000008735	Homo sapiens	22	-	49385980	49396845
8838	12107	ENSG00000008838	Homo sapiens	17	-	35428876	35464415
8853	12311	ENSG00000008853	Homo sapiens	8	-	22913059	22933655
8869	3467	ENSG00000008869	Homo sapiens	2	-	37061657	37164989
8952	12209	ENSG00000008952	Homo sapiens	3	-	171167274	171198855
8988	10969	ENSG00000008988	Homo sapiens	8	-	57148169	57149623
9307	6718	ENSG00000009307	Homo sapiens	1	-	115061061	115102147
9335	12987	ENSG00000009335	Homo sapiens	7	-	156624425	156754823
9413	6437	ENSG00000009413	Homo sapiens	6	-	111726927	111911608
9694	16127	ENSG00000009694	Homo sapiens	X	-	123339504	123925347
9709	5858	ENSG00000009709	Homo sapiens	1	-	18830087	18944010
9724	13740	ENSG00000009724	Homo sapiens	1	-	11008649	11029876
9765	5730	ENSG00000009765	Homo sapiens	6	-	150731721	150771032
9780	2452	ENSG00000009780	Homo sapiens	1	-	27925077	27961062
9790	827	ENSG00000009790	Homo sapiens	1	-	207996022	208022288
9830	11921	ENSG00000009830	Homo sapiens	14	-	76811054	76856978
9844	11575	ENSG00000009844	Homo sapiens	6	-	142510087	142583776
9950	2805	ENSG00000009950	Homo sapiens	7	-	72645460	72676806
9954	4317	ENSG00000009954	Homo sapiens	7	-	72492676	72574544
10017	8052	ENSG00000010017	Homo sapiens	6	-	13729714	13819932
10072	1337	ENSG00000010072	Homo sapiens	1	-	229540305	229556611
10165	12489	ENSG00000010165	Homo sapiens	1	-	170017384	170033480
10219	14315	ENSG00000010219	Homo sapiens	12	-	4569747	4593291
10244	11075	ENSG00000010244	Homo sapiens	17	-	27701263	27738893
10256	11545	ENSG00000010256	Homo sapiens	3	-	48611436	48622102
10270	8954	ENSG00000010270	Homo sapiens	7	-	38184376	38236760
10278	15229	ENSG00000010278	Homo sapiens	12	-	6179142	6222635
10282	677	ENSG00000010282	Homo sapiens	3	-	42709159	42718017
10292	894	ENSG00000010292	Homo sapiens	12	-	6472806	6511381
10295	5371	ENSG00000010295	Homo sapiens	12	-	6518955	6535498
10310	15383	ENSG00000010310	Homo sapiens	19	-	50863342	50877544
10318	13290	ENSG00000010318	Homo sapiens	3	-	52419567	52432696
10319	14966	ENSG00000010319	Homo sapiens	3	-	52442308	52454083
10322	7688	ENSG00000010322	Homo sapiens	3	-	52464660	52502124
10327	6024	ENSG00000010327	Homo sapiens	3	-	52504396	52533549
10361	12536	ENSG00000010361	Homo sapiens	19	-	55001987	55008339
10379	15222	ENSG00000010379	Homo sapiens	12	-	200052	242263
10404	10745	ENSG00000010404	Homo sapiens	X	-	148368206	148394714
10438	15660	ENSG00000010438	Homo sapiens	9	-	33740515	33789228
10610	9427	ENSG00000010610	Homo sapiens	12	-	6768912	6800237
10626	16454	ENSG00000010626	Homo sapiens	12	-	6884213	6893666
10671	15680	ENSG00000010671	Homo sapiens	X	-	100491091	100527838
10704	15715	ENSG00000010704	Homo sapiens	6	-	26195488	26205036
10803	7922	ENSG00000010803	Homo sapiens	1	-	41265461	41480375
10810	16110	ENSG00000010810	Homo sapiens	6	-	112089190	112301320
10818	5516	ENSG00000010818	Homo sapiens	6	-	143114297	143308031
10932	13367	ENSG00000010932	Homo sapiens	1	-	169484287	169521735
11007	13164	ENSG00000011007	Homo sapiens	1	-	23942549	23958974
11009	8626	ENSG00000011009	Homo sapiens	1	-	23990233	23994614
11021	3422	ENSG00000011021	Homo sapiens	1	-	11788855	11825772
11028	5256	ENSG00000011028	Homo sapiens	17	-	58058494	58124685
11083	15207	ENSG00000011083	Homo sapiens	5	-	149549713	149570827
11105	15177	ENSG00000011105	Homo sapiens	12	-	3056818	3265990
11114	13345	ENSG00000011114	Homo sapiens	14	-	92773649	92869138
11132	2858	ENSG00000011132	Homo sapiens	19	-	3701771	3712673
11143	14220	ENSG00000011143	Homo sapiens	17	-	53637798	53651665
11177	2309	ENSG00000011177	Homo sapiens	7	-	30758276	30763747
11198	12829	ENSG00000011198	Homo sapiens	3	-	43707379	43735295
11243	11092	ENSG00000011243	Homo sapiens	19	-	15351859	15390833
11258	7881	ENSG00000011258	Homo sapiens	17	-	46612936	46692397
11260	5476	ENSG00000011260	Homo sapiens	17	-	46692896	46730289
11275	2753	ENSG00000011275	Homo sapiens	7	-	5626204	5787818
11295	9142	ENSG00000011295	Homo sapiens	17	-	15843507	15889061
11304	8323	ENSG00000011304	Homo sapiens	19	-	748411	763327
11332	16198	ENSG00000011332	Homo sapiens	19	-	43394217	43406628
11347	15434	ENSG00000011347	Homo sapiens	11	-	61039369	61104874
11376	12572	ENSG00000011376	Homo sapiens	3	-	45405072	45565332
11405	8966	ENSG00000011405	Homo sapiens	11	-	17067788	17147930
11422	6306	ENSG00000011422	Homo sapiens	19	-	48842111	48866342
11426	12206	ENSG00000011426	Homo sapiens	7	-	36395957	36459923
11451	11261	ENSG00000011451	Homo sapiens	19	-	15393910	15420118
11454	5696	ENSG00000011454	Homo sapiens	9	-	124743120	124906517
11465	5228	ENSG00000011465	Homo sapiens	12	-	90063167	90100937
11478	10144	ENSG00000011478	Homo sapiens	19	-	50887772	50898426
11485	13772	ENSG00000011485	Homo sapiens	19	-	51542134	51585949
11523	10374	ENSG00000011523	Homo sapiens	2	-	65136999	65167618
11566	6107	ENSG00000011566	Homo sapiens	2	-	39329930	39517797
11590	5002	ENSG00000011590	Homo sapiens	19	-	40895670	40899780
11600	1018	ENSG00000011600	Homo sapiens	19	-	41087152	41091026
11638	1130	ENSG00000011638	Homo sapiens	16	-	21077199	21099438
11677	15049	ENSG00000011677	Homo sapiens	X	-	151087203	151370993
12048	4973	ENSG00000012048	Homo sapiens	17	-	38449840	38530994
12061	856	ENSG00000012061	Homo sapiens	19	-	50604712	50619017
12124	5257	ENSG00000012124	Homo sapiens	19	-	40511930	40530098
12171	14992	ENSG00000012171	Homo sapiens	3	-	50280044	50289574
12174	13522	ENSG00000012174	Homo sapiens	X	-	21767675	21810794
12211	15777	ENSG00000012211	Homo sapiens	X	-	48918847	48929786
12223	8378	ENSG00000012223	Homo sapiens	3	-	46452503	46481404
12232	2940	ENSG00000012232	Homo sapiens	8	-	28615050	28667116
12504	3276	ENSG00000012504	Homo sapiens	12	-	99391810	99481775
12660	4576	ENSG00000012660	Homo sapiens	6	-	53240155	53321906
12779	4244	ENSG00000012779	Homo sapiens	10	-	45189635	45261567
12817	7761	ENSG00000012817	Homo sapiens	Y	-	20326691	20366212
12822	4840	ENSG00000012822	Homo sapiens	12	-	52391170	52407486
12963	8574	ENSG00000012963	Homo sapiens	14	-	92743355	92765306
12983	6102	ENSG00000012983	Homo sapiens	14	-	49954999	50069126
13016	5500	ENSG00000013016	Homo sapiens	2	-	31310707	31344764
13275	10528	ENSG00000013275	Homo sapiens	19	-	45168913	45179191
13288	9840	ENSG00000013288	Homo sapiens	4	-	6627803	6675089
13293	13576	ENSG00000013293	Homo sapiens	3	-	171667255	171786552
13297	8657	ENSG00000013297	Homo sapiens	3	-	171619359	171634577
13306	1953	ENSG00000013306	Homo sapiens	17	-	39752549	39757722
13364	9066	ENSG00000013364	Homo sapiens	16	-	29739281	29766842
13374	7077	ENSG00000013374	Homo sapiens	7	-	150669791	150706463
13375	5788	ENSG00000013375	Homo sapiens	6	-	83935349	83959690
13392	9561	ENSG00000013392	Homo sapiens	6	-	83959817	83962975
13441	2744	ENSG00000013441	Homo sapiens	2	-	201416164	201437667
13455	9267	ENSG00000013455	Homo sapiens	7	-	98761446	98801821
13503	2628	ENSG00000013503	Homo sapiens	12	-	105275619	105428104
13523	11443	ENSG00000013523	Homo sapiens	14	-	76323341	76348983
13561	2691	ENSG00000013561	Homo sapiens	5	-	141326621	141348934
13563	2540	ENSG00000013563	Homo sapiens	X	-	153282773	153293621
13573	10443	ENSG00000013573	Homo sapiens	12	-	31118046	31148992
13583	10585	ENSG00000013583	Homo sapiens	12	-	13019070	13044488
13588	1733	ENSG00000013588	Homo sapiens	12	-	12934983	12957833
13619	4208	ENSG00000013619	Homo sapiens	X	-	149282209	149433106
13725	9450	ENSG00000013725	Homo sapiens	11	-	60495750	60544422
13810	4986	ENSG00000013810	Homo sapiens	4	-	1693054	1716693
14123	1153	ENSG00000014123	Homo sapiens	6	-	97076438	97109870
14138	11148	ENSG00000014138	Homo sapiens	11	-	64786006	64821663
14164	9739	ENSG00000014164	Homo sapiens	8	-	144590975	144694746
14216	13992	ENSG00000014216	Homo sapiens	11	-	64705919	64736052
14257	1068	ENSG00000014257	Homo sapiens	3	-	133518941	133569356
14641	13339	ENSG00000014641	Homo sapiens	2	-	63669608	63687832
14824	6078	ENSG00000014824	Homo sapiens	4	-	41687280	41784307
14914	12569	ENSG00000014914	Homo sapiens	1	-	148167168	148176876
14919	12925	ENSG00000014919	Homo sapiens	10	-	101461596	101482413
15133	15994	ENSG00000015133	Homo sapiens	14	-	90807422	90953905
15153	1239	ENSG00000015153	Homo sapiens	12	-	40837173	40918317
15171	2848	ENSG00000015171	Homo sapiens	10	-	170643	290577
15285	4854	ENSG00000015285	Homo sapiens	X	-	48427141	48434747
15413	12331	ENSG00000015413	Homo sapiens	16	-	88214501	88232365
15475	9650	ENSG00000015475	Homo sapiens	22	-	16596908	16637263
15479	1926	ENSG00000015479	Homo sapiens	5	-	138637691	138695259
15520	3826	ENSG00000015520	Homo sapiens	7	-	44518659	44547439
15532	3470	ENSG00000015532	Homo sapiens	17	-	45778392	45793511
15592	12922	ENSG00000015592	Homo sapiens	8	-	27149738	27171843
15676	9215	ENSG00000015676	Homo sapiens	7	-	44388408	44496808
16082	5505	ENSG00000016082	Homo sapiens	5	-	50714715	50726308
16391	2739	ENSG00000016391	Homo sapiens	3	-	53826683	53855216
16402	5430	ENSG00000016402	Homo sapiens	6	-	137362801	137407991
16490	9541	ENSG00000016490	Homo sapiens	1	-	86706639	86738560
16602	9559	ENSG00000016602	Homo sapiens	1	-	86785349	86819025
16864	10919	ENSG00000016864	Homo sapiens	3	-	52703548	52715088
17260	14932	ENSG00000017260	Homo sapiens	3	-	132096124	132218243
17373	1314	ENSG00000017373	Homo sapiens	17	-	33939785	34015709
17427	672	ENSG00000017427	Homo sapiens	12	-	101316718	101398546
17483	6769	ENSG00000017483	Homo sapiens	X	-	48201866	48213509
17621	8462	ENSG00000017621	Homo sapiens	X	-	48906005	48911750
17797	5572	ENSG00000017797	Homo sapiens	18	-	9465007	9528112
18189	3632	ENSG00000018189	Homo sapiens	4	-	71806560	71891789
18236	15489	ENSG00000018236	Homo sapiens	12	-	39588423	39750361
18280	13635	ENSG00000018280	Homo sapiens	2	-	218954996	218969860
18408	6474	ENSG00000018408	Homo sapiens	3	-	150717713	150858472
18510	13853	ENSG00000018510	Homo sapiens	2	-	177965731	178112409
18610	9425	ENSG00000018610	Homo sapiens	X	-	118556140	118583392
18625	14953	ENSG00000018625	Homo sapiens	1	-	158349930	158379996
18699	3473	ENSG00000018699	Homo sapiens	2	-	32706633	32899620
19102	4106	ENSG00000019102	Homo sapiens	11	-	124122579	124127344
19144	2142	ENSG00000019144	Homo sapiens	11	-	117982423	118033951
19169	4024	ENSG00000019169	Homo sapiens	2	-	119416215	119468706
19186	2966	ENSG00000019186	Homo sapiens	20	-	52203395	52223931
19485	5236	ENSG00000019485	Homo sapiens	11	-	45072140	45203479
19505	9801	ENSG00000019505	Homo sapiens	11	-	45218428	45264446
19549	14124	ENSG00000019549	Homo sapiens	8	-	49992802	49996852
19582	9413	ENSG00000019582	Homo sapiens	5	-	149761426	149772685
19991	13754	ENSG00000019991	Homo sapiens	7	-	81169381	81237388
19995	3815	ENSG00000019995	Homo sapiens	10	-	126620682	126665995
20129	12884	ENSG00000020129	Homo sapiens	1	-	35795661	35804963
20181	3361	ENSG00000020181	Homo sapiens	8	-	37773932	37820648
20219	10087	ENSG00000020219	Homo sapiens	7	-	151773255	151775287
20256	15764	ENSG00000020256	Homo sapiens	20	-	50101609	50241931
20426	1072	ENSG00000020426	Homo sapiens	14	-	60271223	60505149
20577	13070	ENSG00000020577	Homo sapiens	14	-	54104387	54325595
20633	1136	ENSG00000020633	Homo sapiens	1	-	25098589	25164197
