#Species A	Chromosome A	Start A	End A	Species B	Chromosome B	Start B	End B	Size	P value
Homo sapiens	1	229365297	229627413	Mus musculus	8	127316992	127472954	6	2.478E-34
Homo sapiens	1	231153004	231461715	Mus musculus	8	128258124	128422193	2	5.468E-8
Homo sapiens	1	232107447	232586415	Mus musculus	8	128822479	128949333	2	5.468E-8
Homo sapiens	1	233339283	233391395	Mus musculus	8	129458689	129494979	2	5.468E-8
Homo sapiens	13	34414456	35144873	Mus musculus	3	55429155	55987623	2	5.468E-8
Homo sapiens	13	35243478	35818453	Mus musculus	3	54916064	55340600	4	1.472E-21
Homo sapiens	13	36291339	36531850	Mus musculus	3	54497035	54611713	5	5.032E-28
Homo sapiens	13	37034779	37342562	Mus musculus	3	53959979	54194961	2	5.468E-8
Homo sapiens	13	38438063	38522240	Mus musculus	3	53253578	53312424	2	5.468E-8
Homo sapiens	13	38815033	39224637	Mus musculus	3	52786045	53065597	2	5.468E-8
Homo sapiens	13	40201440	40282246	Mus musculus	8	23486027	23539945	2	5.468E-8
Homo sapiens	13	51404811	51631997	Mus musculus	8	23104820	23276874	4	1.472E-21
Homo sapiens	13	51833080	52059223	Mus musculus	8	23278632	23481890	4	4.416E-21
Homo sapiens	13	105940099	106018513	Mus musculus	8	8617731	8690317	2	5.468E-8
Homo sapiens	13	107657795	107757366	Mus musculus	8	9969049	10037845	3	6.728E-15
Homo sapiens	13	109599312	110171419	Mus musculus	8	11198433	11562462	6	2.478E-34
Homo sapiens	13	110565783	110794595	Mus musculus	8	11728105	11855760	2	5.468E-8
Homo sapiens	13	112078634	112290482	Mus musculus	8	12573049	12672123	2	5.468E-8
Homo sapiens	13	112392644	113373975	Mus musculus	8	12757014	13417579	15	1.375E-86
Homo sapiens	13	113546919	113651873	Mus musculus	8	13435426	13494528	2	5.468E-8
Homo sapiens	13	114018464	114089363	Mus musculus	8	13757690	13799193	2	5.468E-8
Homo sapiens	22	33983489	34150494	Mus musculus	8	77517602	77651587	4	2.944E-21
Homo sapiens	Y	13322554	13541784	Mus musculus	Y	598038	796225	2	5.468E-8
Homo sapiens	7	33040555	33612205	Mus musculus	9	22216362	22692718	2	1.094E-7
Homo sapiens	7	36330364	36459923	Mus musculus	9	22136460	22249121	2	5.468E-8
Homo sapiens	11	89507491	89595882	Mus musculus	9	18096711	18192582	2	5.468E-8
Homo sapiens	11	92703531	92916194	Mus musculus	9	15309931	15432347	2	5.468E-8
Homo sapiens	11	93034525	93223316	Mus musculus	9	15043489	15145526	5	5.032E-28
Homo sapiens	11	93394192	93554781	Mus musculus	9	14810231	14916552	2	5.468E-8
Homo sapiens	11	93750131	93994234	Mus musculus	9	14500674	14673943	5	5.032E-28
Homo sapiens	11	94335931	94372326	Mus musculus	9	14266993	14314816	2	5.468E-8
Homo sapiens	11	94462671	94603894	Mus musculus	9	14080745	14185686	2	5.468E-8
Homo sapiens	11	95141765	95466334	Mus musculus	9	13424434	13650973	4	1.472E-21
Homo sapiens	11	101266616	101609356	Mus musculus	9	7931999	8185126	4	1.472E-21
Homo sapiens	11	101693404	101828985	Mus musculus	9	7764131	7873127	3	6.728E-15
Homo sapiens	11	101896450	102001273	Mus musculus	9	7628231	7699585	2	5.468E-8
Homo sapiens	11	102067625	102156569	Mus musculus	9	7502342	7581393	3	6.728E-15
Homo sapiens	11	103283125	103540237	Mus musculus	9	6168661	6378843	2	5.468E-8
Homo sapiens	11	104262627	104515019	Mus musculus	9	5298517	5373034	3	6.728E-15
Homo sapiens	11	104986010	105474629	Mus musculus	9	4296620	4796142	4	1.472E-21
Homo sapiens	11	106702293	106941637	Mus musculus	9	3335478	3479236	2	5.468E-8
Homo sapiens	11	106992719	107087997	Mus musculus	9	53698058	53823108	2	5.468E-8
Homo sapiens	11	107304487	107969570	Mus musculus	9	53109775	53514337	8	1.454E-46
Homo sapiens	11	109511789	109672647	Mus musculus	9	51856376	51976677	2	5.468E-8
Homo sapiens	11	110631916	110755627	Mus musculus	9	51021794	51137022	3	6.728E-15
Homo sapiens	11	110843465	111636522	Mus musculus	9	50302630	50927980	22	9.191E-124
Homo sapiens	11	112573125	112851103	Mus musculus	9	49148732	49606834	4	1.472E-21
Homo sapiens	11	113065275	113366241	Mus musculus	9	48707773	48925690	5	5.032E-28
Homo sapiens	11	113435525	113688448	Mus musculus	9	48399996	48644050	2	5.468E-8
Homo sapiens	11	113767380	113826211	Mus musculus	9	48276619	48304069	3	6.728E-15
Homo sapiens	11	116124096	117377404	Mus musculus	9	45061922	46106862	19	4.186E-108
Homo sapiens	11	117452976	118055591	Mus musculus	9	44481321	45012098	18	3.386E-102
Homo sapiens	11	118259771	118800048	Mus musculus	9	43851467	44334504	25	4.505E-139
Homo sapiens	11	119586957	119865855	Mus musculus	9	42771926	43047885	4	1.472E-21
Homo sapiens	11	120036238	120567412	Mus musculus	9	42137706	42752576	3	6.728E-15
Homo sapiens	11	122031640	122357638	Mus musculus	9	40682210	40965798	4	1.472E-21
Homo sapiens	11	122901740	123030525	Mus musculus	9	40076802	40263349	2	5.468E-8
Homo sapiens	11	123258843	123414918	Mus musculus	9	39801397	39958447	6	2.478E-34
Homo sapiens	11	123469553	123562125	Mus musculus	9	39357516	39477579	4	2.944E-21
Homo sapiens	11	123625633	123695303	Mus musculus	9	38655649	39292836	3	2.691E-14
Homo sapiens	11	123799048	123816191	Mus musculus	9	37704991	37727197	2	5.468E-8
Homo sapiens	11	123917828	124175509	Mus musculus	9	37296906	37612521	10	2.204E-58
Homo sapiens	11	124240492	124486719	Mus musculus	9	37015920	37240748	6	2.478E-34
Homo sapiens	11	124539769	124871373	Mus musculus	9	36640394	36954899	2	5.468E-8
Homo sapiens	11	124944508	125056152	Mus musculus	9	36500805	36604890	4	1.472E-21
Homo sapiens	11	125258719	125438397	Mus musculus	9	35259661	35377617	4	1.472E-21
Homo sapiens	11	125577534	125938022	Mus musculus	9	34296689	35083547	8	1.454E-46
Homo sapiens	11	128069199	128539450	Mus musculus	9	32015785	32348974	4	1.472E-21
Homo sapiens	11	129190951	129377940	Mus musculus	9	31121106	31272047	3	6.728E-15
Homo sapiens	11	129445011	129689817	Mus musculus	9	30838229	31019372	3	6.728E-15
Homo sapiens	11	129780030	129848926	Mus musculus	9	30706740	30770443	2	5.468E-8
Homo sapiens	11	133444030	133640954	Mus musculus	9	26781729	26962965	5	5.032E-28
Homo sapiens	11	133651485	133787552	Mus musculus	9	26541436	26668240	3	6.728E-15
Homo sapiens	6	52950710	53121586	Mus musculus	9	77899731	78057155	4	1.472E-21
Homo sapiens	6	53991748	54362870	Mus musculus	9	76799506	77195647	2	5.468E-8
Homo sapiens	6	55147025	55551971	Mus musculus	9	75862784	76171385	3	6.728E-15
Homo sapiens	6	74119508	74267882	Mus musculus	9	78214864	78321957	5	1.510E-27
Homo sapiens	6	74359824	74594761	Mus musculus	9	78384316	78564058	2	5.468E-8
Homo sapiens	6	75850762	76260216	Mus musculus	9	79446798	79825689	4	1.472E-21
Homo sapiens	6	76368320	76839055	Mus musculus	9	79914710	80359018	3	6.728E-15
Homo sapiens	6	79633908	79844708	Mus musculus	9	82723476	82869096	2	5.468E-8
Homo sapiens	6	80681255	80808958	Mus musculus	9	83673141	83765989	2	5.468E-8
Homo sapiens	6	83658836	84197498	Mus musculus	9	86200841	86589802	5	1.006E-27
Homo sapiens	6	84278990	84475828	Mus musculus	9	86636450	86775249	2	5.468E-8
Homo sapiens	6	84619704	84726863	Mus musculus	9	86910372	86972282	2	5.468E-8
Homo sapiens	6	84800139	84994045	Mus musculus	9	87039141	87150367	2	5.468E-8
Homo sapiens	6	86216528	86409746	Mus musculus	9	88222471	88377235	3	6.728E-15
Homo sapiens	13	19105880	19335773	Mus musculus	14	57287085	57430534	3	6.728E-15
Homo sapiens	13	19610397	19704534	Mus musculus	14	57654497	57752103	3	6.728E-15
Homo sapiens	13	19875809	20374949	Mus musculus	14	57893872	58283793	5	5.032E-28
Homo sapiens	13	20612685	20651203	Mus musculus	14	58417055	58445785	3	1.346E-14
Homo sapiens	13	20848510	21076314	Mus musculus	14	58451539	58618099	2	5.468E-8
Homo sapiens	13	22653091	22847682	Mus musculus	14	61757294	61877327	2	5.468E-8
Homo sapiens	13	23202329	23374794	Mus musculus	14	61386971	61522447	2	1.094E-7
Homo sapiens	13	23632861	23794673	Mus musculus	14	61309805	61399705	3	1.346E-14
Homo sapiens	13	24152695	24395018	Mus musculus	14	56983865	57190669	3	6.728E-15
Homo sapiens	13	24719372	24814561	Mus musculus	14	60824707	60921207	2	5.468E-8
Homo sapiens	13	24844209	25523198	Mus musculus	14	60244145	60705671	2	5.468E-8
Homo sapiens	13	40404170	40556137	Mus musculus	14	79859744	79982283	2	5.468E-8
Homo sapiens	13	40661969	40849162	Mus musculus	14	79734317	79854623	3	6.728E-15
Homo sapiens	13	41520889	41795402	Mus musculus	14	78894764	79124896	2	5.468E-8
Homo sapiens	13	42360123	42581304	Mus musculus	14	78226054	78397975	2	5.468E-8
Homo sapiens	13	42685654	43364367	Mus musculus	14	77424008	78121214	3	6.728E-15
Homo sapiens	13	43845978	44048701	Mus musculus	14	76814768	76956665	2	5.468E-8
Homo sapiens	13	44411384	44505742	Mus musculus	14	76486039	76537186	2	5.468E-8
Homo sapiens	13	44592656	44756237	Mus musculus	14	76296744	76410672	2	5.468E-8
Homo sapiens	13	44865456	45008760	Mus musculus	14	76102158	76186841	3	6.728E-15
Homo sapiens	13	45426601	45739071	Mus musculus	14	75484111	75744233	4	1.472E-21
Homo sapiens	13	46025304	46368176	Mus musculus	14	75040647	75347684	3	6.728E-15
Homo sapiens	13	47414792	47567268	Mus musculus	14	73909841	73995449	3	1.346E-14
Homo sapiens	13	47705307	48005317	Mus musculus	14	73551340	73785096	4	1.472E-21
Homo sapiens	13	48720099	49057720	Mus musculus	14	59820065	60216781	5	5.032E-28
Homo sapiens	13	49100436	49265058	Mus musculus	14	61928682	62058711	3	6.728E-15
Homo sapiens	13	49469144	49493059	Mus musculus	14	62218626	62231659	2	5.468E-8
Homo sapiens	13	50381815	50538344	Mus musculus	14	62950941	63075126	2	5.468E-8
Homo sapiens	13	52124964	52211948	Mus musculus	14	79987584	80061977	2	5.468E-8
Homo sapiens	13	72180496	72549654	Mus musculus	14	99434692	99712624	5	5.032E-28
Homo sapiens	13	74756810	75343063	Mus musculus	14	101841577	102333290	4	2.944E-21
Homo sapiens	13	76420633	76799180	Mus musculus	14	103446194	103746017	4	1.472E-21
Homo sapiens	13	77007860	77236378	Mus musculus	14	103912558	104104012	2	5.468E-8
Homo sapiens	13	78071237	78131315	Mus musculus	14	104861550	104921883	2	5.468E-8
Homo sapiens	13	92677711	93929924	Mus musculus	14	117325158	118451407	2	5.468E-8
Homo sapiens	13	94024336	94079947	Mus musculus	14	118512294	118563454	2	5.468E-8
Homo sapiens	13	94883859	96283672	Mus musculus	14	119187130	120268816	5	1.006E-27
Homo sapiens	13	96671689	96918243	Mus musculus	14	120674929	120906412	2	5.468E-8
Homo sapiens	13	97593435	98027397	Mus musculus	14	121434766	121778452	2	5.468E-8
Homo sapiens	13	98134057	98536661	Mus musculus	14	121858843	122137684	2	5.468E-8
Homo sapiens	13	98651109	98836682	Mus musculus	14	122277828	122420256	3	6.728E-15
Homo sapiens	13	98951672	99437019	Mus musculus	14	122506304	122879550	4	1.472E-21
Homo sapiens	13	99539338	100125171	Mus musculus	14	122933561	123382483	3	6.728E-15
Homo sapiens	13	100504131	101852029	Mus musculus	14	123675863	125075939	3	6.728E-15
Homo sapiens	4	95898151	96689031	Mus musculus	3	141128528	141832389	2	5.468E-8
Homo sapiens	4	99401627	99798750	Mus musculus	3	138405159	138738163	2	5.468E-8
Homo sapiens	4	100135903	100284472	Mus musculus	3	138078461	138152365	3	6.728E-15
Homo sapiens	4	100651197	100763649	Mus musculus	3	137753868	137849677	3	6.728E-15
Homo sapiens	4	100957013	101090570	Mus musculus	3	137527553	137644481	3	6.728E-15
Homo sapiens	4	103641518	104240473	Mus musculus	3	134944256	135354511	7	4.981E-40
Homo sapiens	4	106693226	107112273	Mus musculus	3	132545663	132897853	4	1.472E-21
Homo sapiens	4	107186689	107489831	Mus musculus	3	132323467	132459798	2	5.468E-8
Homo sapiens	4	108965168	109309027	Mus musculus	3	130813239	131047853	4	1.472E-21
Homo sapiens	4	109882657	110443248	Mus musculus	3	129883809	130338666	2	5.468E-8
Homo sapiens	4	110574320	111339258	Mus musculus	3	129235304	129763825	10	2.204E-58
Homo sapiens	4	111616697	111782611	Mus musculus	3	128902842	129035667	2	5.468E-8
Homo sapiens	4	113286127	113582216	Mus musculus	3	127373850	127599217	4	1.472E-21
Homo sapiens	4	113654125	113798190	Mus musculus	3	127239636	127338545	3	1.346E-14
Homo sapiens	4	119174213	119493370	Mus musculus	3	123149831	123393735	2	5.468E-8
Homo sapiens	4	119825995	120201841	Mus musculus	3	122779437	123088866	3	6.728E-15
Homo sapiens	4	120276469	120462766	Mus musculus	3	122598310	122737867	4	1.472E-21
Homo sapiens	4	122941922	123092285	Mus musculus	3	36451549	36589089	4	1.472E-21
Homo sapiens	4	123292938	123597339	Mus musculus	3	36852804	37024875	3	6.728E-15
Homo sapiens	4	123967313	124455252	Mus musculus	3	37247772	37478017	3	6.728E-15
Homo sapiens	4	128773570	129176928	Mus musculus	3	40430208	40675111	6	2.478E-34
Homo sapiens	4	129950229	130253258	Mus musculus	3	41359654	41562427	3	6.728E-15
Homo sapiens	4	140156393	140317822	Mus musculus	3	51028855	51144566	2	5.468E-8
Homo sapiens	4	140406767	140531972	Mus musculus	3	51192337	51277946	3	6.728E-15
Homo sapiens	4	140594411	140697027	Mus musculus	3	51287888	51364800	2	5.468E-8
Homo sapiens	4	140806372	141031580	Mus musculus	3	51465115	51908155	2	5.468E-8
Homo sapiens	4	151218876	152156099	Mus musculus	3	86028612	86724774	3	6.728E-15
Homo sapiens	4	153909958	154120288	Mus musculus	3	84247957	84400954	3	6.728E-15
Homo sapiens	4	154345068	154777310	Mus musculus	3	83702209	84108731	3	6.728E-15
Homo sapiens	4	155675629	155753352	Mus musculus	3	82811818	82876209	4	1.472E-21
Homo sapiens	4	155884602	155969414	Mus musculus	3	82667825	82707896	2	5.468E-8
Homo sapiens	4	156807328	157094498	Mus musculus	3	81736538	81949709	5	5.032E-28
Homo sapiens	4	158216788	158506677	Mus musculus	3	80488858	80717539	2	5.468E-8
Homo sapiens	4	159265213	159395886	Mus musculus	3	79617075	79747304	2	5.468E-8
Homo sapiens	4	159662379	159927622	Mus musculus	3	79395295	79541802	4	1.472E-21
Homo sapiens	4	141397890	141568232	Mus musculus	8	85913766	85982290	2	1.094E-7
Homo sapiens	4	141664772	141896921	Mus musculus	8	85689974	85856324	3	6.728E-15
Homo sapiens	4	144477500	144841278	Mus musculus	8	83134979	83404395	3	6.728E-15
Homo sapiens	4	146135773	146320575	Mus musculus	8	82163575	82301220	3	1.346E-14
Homo sapiens	4	148758046	149582973	Mus musculus	8	79423693	80134520	4	1.472E-21
Homo sapiens	4	164464567	164492534	Mus musculus	8	69203866	69230691	2	5.468E-8
Homo sapiens	4	164612456	164994733	Mus musculus	8	68141908	69037656	3	6.728E-15
Homo sapiens	4	166180669	166253431	Mus musculus	8	67471114	67542483	3	6.728E-15
Homo sapiens	4	166348238	166638926	Mus musculus	8	67071355	67373716	3	6.728E-15
Homo sapiens	4	169250282	169476478	Mus musculus	8	64406886	64601909	2	5.468E-8
Homo sapiens	4	169654792	170167997	Mus musculus	8	63966531	64381487	2	5.468E-8
Homo sapiens	4	170557813	170915679	Mus musculus	8	63369248	63610141	3	1.346E-14
Homo sapiens	4	174326505	174557192	Mus musculus	8	59934852	60131800	4	1.472E-21
Homo sapiens	4	175394384	175478057	Mus musculus	8	59010321	59071158	2	5.468E-8
Homo sapiens	4	177224126	177487338	Mus musculus	8	55608569	55809721	4	1.472E-21
Homo sapiens	4	184351762	184480573	Mus musculus	8	48907497	49075897	2	5.468E-8
Homo sapiens	4	184602794	184669243	Mus musculus	8	48752532	48799253	2	5.468E-8
Homo sapiens	4	184797783	184884878	Mus musculus	8	48575483	48636081	2	5.468E-8
Homo sapiens	4	185785844	185984209	Mus musculus	8	47556396	47725042	4	1.472E-21
Homo sapiens	4	186301392	187114516	Mus musculus	8	46593149	47296384	10	2.204E-58
Homo sapiens	4	187303045	187447829	Mus musculus	8	46326524	46467587	4	1.472E-21
Homo sapiens	4	187691808	187881981	Mus musculus	8	46035568	46173849	2	5.468E-8
Homo sapiens	16	16150924	16296168	Mus musculus	7	53231750	53339574	2	1.640E-7
Homo sapiens	16	18701779	18844887	Mus musculus	7	125252578	125387151	3	1.346E-14
Homo sapiens	16	18902828	18998851	Mus musculus	7	125653324	125728200	2	5.468E-8
Homo sapiens	16	19329546	19803652	Mus musculus	7	125766593	126138675	7	1.660E-40
Homo sapiens	16	20251874	21078263	Mus musculus	7	126606378	127095671	12	7.193E-70
Homo sapiens	16	21077199	21221873	Mus musculus	7	127245889	127345502	4	1.472E-21
Homo sapiens	16	21518357	21679551	Mus musculus	7	128177959	128306610	3	6.728E-15
Homo sapiens	16	21871482	21919934	Mus musculus	7	127778750	127813857	2	5.468E-8
Homo sapiens	16	21983224	22293439	Mus musculus	7	127821260	128125808	6	2.478E-34
Homo sapiens	16	23221133	23677757	Mus musculus	7	129008552	129366053	11	3.650E-64
Homo sapiens	16	23754823	24281238	Mus musculus	7	129432639	129912360	2	5.468E-8
Homo sapiens	16	24648517	24830444	Mus musculus	7	130267399	130416763	2	5.468E-8
Homo sapiens	16	25030548	25176343	Mus musculus	7	130521570	130643963	3	6.728E-15
Homo sapiens	16	27122317	27187614	Mus musculus	7	132588190	132635049	2	5.468E-8
