# An example of input file for detection of syntenies by CHSMiner		
# from public ortholog database HomoloGene (http://www.ncbi.nlm.nih.gov/sites/entrez?db=homologene)
# GeneID	FamilyID	Symbol	Organism	Chromosome	Orient	Start	End
728661	84987	LOC728661	Homo sapiens	1	-	1582798	1618021
984	86054	CDC2L1	Homo sapiens	1	-	1624179	1645636
985	86054	CDC2L2	Homo sapiens	1	-	1624179	1645622
65220	49724	NADK	Homo sapiens	1	-	1672530	1699768
2782	55532	GNB1	Homo sapiens	1	-	1706588	1812354
163688	89140	CALML6	Homo sapiens	1	+	1836125	1838592
339456	18680	TMEM52	Homo sapiens	1	-	1838889	1840564
339457	83682	LOC339457	Homo sapiens	1	-	1843255	1849227
728690	89572	LOC728690	Homo sapiens	1	-	1847365	1868447
85452	18601	KIAA1751	Homo sapiens	1	-	1874611	1925135
2563	55489	GABRD	Homo sapiens	1	+	1940702	1952049
5590	55681	PRKCZ	Homo sapiens	1	+	1971768	2106693
199990	18793	C1orf86	Homo sapiens	1	-	2105776	2116073
6497	31124	SKI	Homo sapiens	1	+	2149993	2229315
79906	11757	MORN1	Homo sapiens	1	-	2242555	2312852
11079	81756	RER1	Homo sapiens	1	+	2313188	2325049
5192	5671	PEX10	Homo sapiens	1	-	2326100	2333869
9651	85172	PLCH2	Homo sapiens	1	+	2397613	2426823
55229	41235	PANK4	Homo sapiens	1	-	2429834	2447894
388585	7755	HES5	Homo sapiens	1	-	2450043	2451543
8764	2833	TNFRSF14	Homo sapiens	1	-	2479149	2486612
127281	11976	C1orf93	Homo sapiens	1	+	2508108	2512761
79258	22778	MMEL1	Homo sapiens	1	-	2511940	2554288
390988	27811	LOC390988	Homo sapiens	1	-	2689995	2707251
140625	23647	ACTRT2	Homo sapiens	1	+	2927905	2929326
63976	11139	PRDM16	Homo sapiens	1	+	2975603	3345044
27237	82484	ARHGEF16	Homo sapiens	1	+	3369981	3387536
1953	45412	MEGF6	Homo sapiens	1	-	3396349	3517918
127262	12192	FAM79A	Homo sapiens	1	+	3531415	3536554
49856	9857	WDR8	Homo sapiens	1	-	3537198	3556496
7161	3960	TP73	Homo sapiens	1	+	3558988	3639715
148870	17596	CCDC27	Homo sapiens	1	+	3658821	3678068
388588	85400	LOC388588	Homo sapiens	1	+	3679248	3682405
57470	10795	LRRC47	Homo sapiens	1	-	3686643	3702927
9731	44919	KIAA0562	Homo sapiens	1	-	3718512	3763610
1677	3241	DFFB	Homo sapiens	1	+	3763704	3791852
339448	18433	C1orf174	Homo sapiens	1	-	3795556	3806708
728716	89862	LOC728716	Homo sapiens	1	+	3900484	3912502
55966	10312	AJAP1	Homo sapiens	1	+	4614964	4743709
261734	9024	NPHP4	Homo sapiens	1	-	5845456	5975117
8514	56492	KCNAB2	Homo sapiens	1	+	6008966	6083109
26038	56712	CHD5	Homo sapiens	1	-	6084439	6162769
6146	37378	RPL22	Homo sapiens	1	-	6167666	6182265
388591	19234	RNF207	Homo sapiens	1	+	6188121	6190958
23463	5735	ICMT	Homo sapiens	1	-	6203839	6218630
390992	7358	HES3	Homo sapiens	1	+	6226231	6228681
387509	18662	GPR153	Homo sapiens	1	-	6231442	6243621
11332	15780	ACOT7	Homo sapiens	1	-	6246918	6376412
54626	22455	HES2	Homo sapiens	1	-	6397882	6402565
83715	23164	ESPN	Homo sapiens	1	+	6407434	6443575
8718	13202	TNFRSF25	Homo sapiens	1	-	6443797	6448841
57449	10768	PLEKHG5	Homo sapiens	1	-	6449459	6502655
79707	32589	NOL9	Homo sapiens	1	-	6507791	6537167
80835	12888	TAS1R1	Homo sapiens	1	+	6538020	6562403
3104	3905	ZBTB48	Homo sapiens	1	+	6562697	6571925
9903	8902	KLHL21	Homo sapiens	1	-	6573370	6585515
148479	17822	PHF13	Homo sapiens	1	+	6596331	6606642
90326	18413	THAP3	Homo sapiens	1	+	6607838	6618231
55735	14558	DNAJC11	Homo sapiens	1	-	6616817	6684459
23261	18942	CAMTA1	Homo sapiens	1	+	6767970	7752350
9341	3511	VAMP3	Homo sapiens	1	+	7753915	7764078
8863	7886	PER3	Homo sapiens	1	+	7767349	7827823
10911	4939	UTS2	Homo sapiens	1	-	7830261	7836158
3604	1199	TNFRSF9	Homo sapiens	1	-	7902493	7923473
11315	38295	PARK7	Homo sapiens	1	+	7944379	7967925
54206	10344	ERRFI1	Homo sapiens	1	-	7994380	8008942
50651	44908	SLC45A1	Homo sapiens	1	+	8306976	8326813
473	8101	RERE	Homo sapiens	1	-	8335043	8800110
2023	68183	ENO1	Homo sapiens	1	-	8843649	8861366
765	20324	CA6	Homo sapiens	1	+	8928508	8957737
155184	72470	SLC2A7	Homo sapiens	1	-	8985945	9008990
6518	74459	SLC2A5	Homo sapiens	1	-	9019593	9052256
80045	18573	GPR157	Homo sapiens	1	-	9087062	9111815
9563	48275	H6PD	Homo sapiens	1	+	9217449	9253982
80176	11832	SPSB1	Homo sapiens	1	+	9275570	9352177
84275	57076	SLC25A33	Homo sapiens	1	+	9522114	9565417
199953	35319	RP13-15M17.2	Homo sapiens	1	+	9571566	9587593
5293	3686	PIK3CD	Homo sapiens	1	+	9634389	9711563
22883	8814	CLSTN1	Homo sapiens	1	-	9711665	9807136
56998	10641	CTNNBIP1	Homo sapiens	1	-	9830920	9892902
84328	12301	LZIC	Homo sapiens	1	-	9912362	9925412
64802	39074	NMNAT1	Homo sapiens	1	+	9926073	9966313
116362	32521	RBP7	Homo sapiens	1	+	9979860	9998664
10277	4413	UBE4B	Homo sapiens	1	+	10015629	10163883
23095	99835	KIF1B	Homo sapiens	1	+	10193417	10364241
5226	68268	PGD	Homo sapiens	1	+	10381671	10402787
378708	66004	APITD1	Homo sapiens	1	+	10412745	10434796
1325	997	CORT	Homo sapiens	1	+	10432557	10434545
1676	3240	DFFA	Homo sapiens	1	-	10443174	10455199
5195	37936	PEX14	Homo sapiens	1	+	10457605	10613399
54897	9824	CASZ1	Homo sapiens	1	-	10629863	10676548
148345	52134	C1orf127	Homo sapiens	1	-	10929119	10946844
23435	7221	TARDBP	Homo sapiens	1	+	10995265	11008135
10747	4819	MASP2	Homo sapiens	1	-	11009166	11029871
6723	40514	SRM	Homo sapiens	1	-	11037235	11042677
5394	31105	EXOSC10	Homo sapiens	1	-	11049261	11082524
2475	3637	FRAP1	Homo sapiens	1	-	11089178	11245152
10218	88622	ANGPTL7	Homo sapiens	1	+	11171984	11178624
29914	8336	UBIAD1	Homo sapiens	1	+	11246033	11268928
57540	25712	PTCHD2	Homo sapiens	1	+	11461316	11520226
26232	8132	FBXO2	Homo sapiens	1	-	11631034	11637325
93611	13232	FBXO44	Homo sapiens	1	+	11637018	11645970
26270	9274	FBXO6	Homo sapiens	1	+	11646767	11656997
10459	4624	MAD2L2	Homo sapiens	1	-	11657123	11663779
374946	19233	C1orf187	Homo sapiens	1	+	11674367	11702922
57085	7621	AGTRAP	Homo sapiens	1	+	11718728	11733414
4524	4349	MTHFR	Homo sapiens	1	-	11768373	11788701
1185	985	CLCN6	Homo sapiens	1	+	11788880	11825771
4878	4498	NPPA	Homo sapiens	1	-	11828362	11830421
4879	81698	NPPB	Homo sapiens	1	-	11840107	11841578
90231	12668	KIAA2013	Homo sapiens	1	-	11902708	11909066
5351	256	PLOD1	Homo sapiens	1	+	11917332	11958180
9927	8915	MFN2	Homo sapiens	1	+	11962955	11996151
60672	15879	IIP45	Homo sapiens	1	+	12002098	12014692
943	949	TNFRSF8	Homo sapiens	1	+	12046020	12126850
7133	829	TNFRSF1B	Homo sapiens	1	+	12149646	12191863
390998	67059	LOC390998	Homo sapiens	1	-	12203435	12213220
55187	15583	VPS13D	Homo sapiens	1	+	12212699	12494685
9249	20994	DHRS3	Homo sapiens	1	-	12550525	12600406
343066	82530	AADACL4	Homo sapiens	1	+	12627152	12649683
126767	28426	AADACL3	Homo sapiens	1	+	12698406	12708549
93190	17541	C1orf158	Homo sapiens	1	+	12728749	12743688
390999	75297	PRAMEF12	Homo sapiens	1	+	12751499	12760635
65121	87754	PRAMEF1	Homo sapiens	1	+	12774132	12778809
343069	84649	HNRPCL1	Homo sapiens	1	-	12829847	12831164
65122	87754	PRAMEF2	Homo sapiens	1	+	12839527	12844350
400735	88482	PRAMEF4	Homo sapiens	1	-	12861631	12868611
343071	88617	PRAMEF10	Homo sapiens	1	-	12875313	12880680
441871	77553	PRAMEF7	Homo sapiens	1	+	12900099	12902819
440561	86357	PRAMEF6	Homo sapiens	1	-	12921091	12924934
653606	85985	LOC653606	Homo sapiens	1	+	12955802	12961597
729368	89711	LOC729368	Homo sapiens	1	-	13031100	13045163
441873	87586	LOC441873	Homo sapiens	1	+	13063042	13067918
645359	90785	LOC645359	Homo sapiens	1	-	13138942	13142280
401940	85985	PRAMEF3	Homo sapiens	1	-	13200782	13204278
343068	86357	PRAMEF5	Homo sapiens	1	+	13232405	13241643
391002	77553	PRAMEF8	Homo sapiens	1	-	13259232	13263351
343070	88482	PRAMEF9	Homo sapiens	1	+	13291780	13300777
654348	83994	PRAMEF16	Homo sapiens	1	+	13367721	13370714
729516	77553	LOC729516	Homo sapiens	1	-	13480017	13484136
653619	88482	PRAMEF15	Homo sapiens	1	+	13514559	13521574
729528	87754	LOC729528	Homo sapiens	1	-	13540998	13546097
645414	89725	PRAMEF19	Homo sapiens	1	-	13567475	13573865
126755	77949	LRRC38	Homo sapiens	1	-	13673775	13716439
10630	4729	PDPN	Homo sapiens	1	+	13782838	13817038
7799	40822	PRDM2	Homo sapiens	1	+	13903936	14024161
23254	16235	KIAA1026	Homo sapiens	1	+	14797799	15265160
200197	89281	C1orf126	Homo sapiens	1	-	15315035	15351546
55092	9966	TMEM51	Homo sapiens	1	+	15352815	15419458
114827	77947	FHAD1	Homo sapiens	1	+	15442754	15597359
79180	32580	EFHD2	Homo sapiens	1	+	15609027	15629421
11330	21422	CTRC	Homo sapiens	1	+	15637524	15645739
63036	40598	ELA2A	Homo sapiens	1	+	15655810	15671169
51032	88835	ELA2B	Homo sapiens	1	+	15675182	15690481
842	31024	CASP9	Homo sapiens	1	-	15691377	15723376
23341	45414	DNAJC16	Homo sapiens	1	+	15725938	15770813
79814	99855	AGMAT	Homo sapiens	1	-	15771738	15784191
645317	85585	LOC645317	Homo sapiens	1	+	15802839	15804412
84301	90870	DDI2	Homo sapiens	1	+	15816656	15859334
6248	68518	RSC1A1	Homo sapiens	1	+	15858950	15860803
23207	19575	PLEKHM2	Homo sapiens	1	+	15880612	15933855
284723	68806	SLC25A34	Homo sapiens	1	+	15935395	15940470
388595	27088	LOC388595	Homo sapiens	1	+	15941503	15947063
54751	56774	FBLIM1	Homo sapiens	1	+	15957841	15985670
440567	90757	LOC440567	Homo sapiens	1	-	16006246	16006785
441876	87592	LOC441876	Homo sapiens	1	+	16027293	16027820
729614	89974	LOC729614	Homo sapiens	1	+	16033146	16034704
23013	8992	SPEN	Homo sapiens	1	+	16046945	16139536
7709	2575	ZBTB17	Homo sapiens	1	-	16140950	16175100
149563	18717	C1orf64	Homo sapiens	1	+	16203317	16205770
27129	8480	HSPB7	Homo sapiens	1	-	16213110	16217537
1187	65	CLCNKA	Homo sapiens	1	+	16221696	16233131
1188	73873	CLCNKB	Homo sapiens	1	+	16242938	16256062
348487	18806	FAM131C	Homo sapiens	1	-	16256850	16272681
1969	20929	EPHA2	Homo sapiens	1	-	16323418	16355150
128272	17710	ARHGEF19	Homo sapiens	1	-	16397185	16411690
79363	12793	C1orf89	Homo sapiens	1	-	16430781	16436032
54455	16234	FBXO42	Homo sapiens	1	-	16449145	16551534
26099	9213	C1orf144	Homo sapiens	1	+	16566306	16595450
374955	18639	SPATA21	Homo sapiens	1	-	16597724	16636505
55707	9168	NECAP2	Homo sapiens	1	+	16639819	16659159
645685	90483	LOC645685	Homo sapiens	1	-	16719809	16724869
55672	41035	NBPF1	Homo sapiens	1	-	16763000	16812568
729574	89759	LOC729574	Homo sapiens	1	+	16872084	16872593
729587	89761	LOC729587	Homo sapiens	1	-	16933033	16933991
9696	16811	CROCC	Homo sapiens	1	+	17121031	17172046
4237	1801	MFAP2	Homo sapiens	1	-	17173583	17180667
23400	56940	ATP13A2	Homo sapiens	1	-	17185039	17210853
6390	2255	SDHB	Homo sapiens	1	-	17217839	17253232
11240	7214	PADI2	Homo sapiens	1	-	17267839	17318516
29943	7881	PADI1	Homo sapiens	1	+	17404216	17443941
51702	7882	PADI3	Homo sapiens	1	+	17448179	17483311
23569	7883	PADI4	Homo sapiens	1	+	17507278	17563081
353238	17695	PADI6	Homo sapiens	1	+	17571277	17600781
55920	10282	RCC2	Homo sapiens	1	-	17605865	17638806
55160	10017	ARHGEF10L	Homo sapiens	1	+	17738916	17896956
81569	57127	ACTL8	Homo sapiens	1	+	17954430	18026144
84966	13153	IGSF21	Homo sapiens	1	+	18306826	18577562
127707	17567	KLHDC7A	Homo sapiens	1	+	18680452	18682885
5081	55665	PAX7	Homo sapiens	1	+	18830086	18935218
80834	75323	TAS1R2	Homo sapiens	1	-	19038679	19058741
8659	6081	ALDH4A1	Homo sapiens	1	-	19070512	19101658
23352	10804	UBR4	Homo sapiens	1	-	19273586	19409332
23065	9002	KIAA0090	Homo sapiens	1	-	19417170	19450632
51154	6379	MRTO4	Homo sapiens	1	+	19450885	19458344
22977	49295	AKR7A3	Homo sapiens	1	-	19481643	19487866
8574	2737	AKR7A2	Homo sapiens	1	-	19503045	19511226
54896	56784	PQLC2	Homo sapiens	1	+	19511326	19528380
832	3620	CAPZB	Homo sapiens	1	-	19537859	19684578
644075	90476	LOC644075	Homo sapiens	1	-	19551823	19552863
440574	55024	C1orf151	Homo sapiens	1	+	19796053	19827760
644068	79502	LOC644068	Homo sapiens	1	+	19806887	19807724
4681	3924	NBL1	Homo sapiens	1	+	19842312	19857531
3362	673	HTR6	Homo sapiens	1	+	19864366	19878641
255104	57112	TMCO4	Homo sapiens	1	-	19881319	19998996
54546	10404	RNF186	Homo sapiens	1	-	20013108	20014357
23252	66103	OTUD3	Homo sapiens	1	+	20081368	20112024
30814	8083	PLA2G2E	Homo sapiens	1	-	20119386	20122696
5320	254	PLA2G2A	Homo sapiens	1	-	20174517	20179495
5322	716	PLA2G5	Homo sapiens	1	+	20269424	20290239
26279	7892	PLA2G2D	Homo sapiens	1	-	20311018	20318594
64600	8084	PLA2G2F	Homo sapiens	1	+	20338405	20349458
391013	7477	PLA2G2C	Homo sapiens	1	-	20348906	20374273
127733	17568	UBXD3	Homo sapiens	1	+	20385164	20392528
127731	19431	FLJ32784	Homo sapiens	1	+	20490016	20538301
729709	89782	LOC729709	Homo sapiens	1	+	20564885	20577134
55450	10238	CAMK2N1	Homo sapiens	1	-	20682518	20684858
79594	11576	C1orf166	Homo sapiens	1	-	20698529	20707240
163933	45810	FAM43B	Homo sapiens	1	+	20751518	20754086
978	1352	CDA	Homo sapiens	1	+	20788030	20817987
65018	32672	PINK1	Homo sapiens	1	+	20832534	20850590
1650	3821	DDOST	Homo sapiens	1	-	20850856	20860530
57576	5883	KIF17	Homo sapiens	1	-	20863095	20917096
400745	20002	SH2D5	Homo sapiens	1	-	20917212	20932174
50809	7774	HP1BP3	Homo sapiens	1	-	20942214	20979619
8672	2789	EIF4G3	Homo sapiens	1	-	21005558	21250073
1889	1068	ECE1	Homo sapiens	1	-	21418938	21489493
728969	75051	LOC728969	Homo sapiens	1	+	21627266	21631320
84224	88936	NBPF3	Homo sapiens	1	+	21639217	21683979
249	37314	ALPL	Homo sapiens	1	+	21708455	21777488
5909	2163	RAP1GAP	Homo sapiens	1	-	21795301	21868385
84196	12988	USP48	Homo sapiens	1	-	21877377	21982274
401944	54811	LDLRAD2	Homo sapiens	1	+	22011344	22024300
3339	68473	HSPG2	Homo sapiens	1	-	22021323	22136336
440575	89917	LOC440575	Homo sapiens	1	+	22107127	22107709
23436	40574	ELA3B	Homo sapiens	1	+	22176004	22188433
10136	100857	ELA3A	Homo sapiens	1	+	22200735	22211621
998	1357	CDC42	Homo sapiens	1	+	22251706	22292022
54361	22529	WNT4	Homo sapiens	1	-	22318785	22342196
343384	53474	LOC343384	Homo sapiens	1	-	22521919	22522410
9923	8912	ZBTB40	Homo sapiens	1	+	22650936	22727566
2046	22436	EPHA8	Homo sapiens	1	+	22762590	22802673
712	7249	C1QA	Homo sapiens	1	+	22835704	22838761
714	32020	C1QC	Homo sapiens	1	+	22842733	22847189
713	418	C1QB	Homo sapiens	1	+	22852268	22860615
2048	37925	EPHB2	Homo sapiens	1	+	22910044	23114404
646262	82492	LOC646262	Homo sapiens	1	-	23152122	23172110
729059	12172	LOC729059	Homo sapiens	1	-	23209913	23214929
23028	32240	AOF2	Homo sapiens	1	+	23218532	23282770
7798	11545	LUZP1	Homo sapiens	1	-	23284037	23367924
3352	20240	HTR1D	Homo sapiens	1	-	23390974	23393808
10236	4251	HNRPR	Homo sapiens	1	-	23508862	23543370
80818	40684	ZNF436	Homo sapiens	1	-	23559054	23567465
6920	20684	TCEA3	Homo sapiens	1	-	23580141	23623847
55616	41190	DDEFL1	Homo sapiens	1	-	23627642	23683257
1870	48264	E2F2	Homo sapiens	1	-	23705508	23730299
3399	1633	ID3	Homo sapiens	1	-	23757042	23758871
6135	37376	RPL11	Homo sapiens	1	+	23890880	23895501
6924	37746	TCEB3	Homo sapiens	1	+	23942548	23958973
57095	10678	C1orf128	Homo sapiens	1	+	23977469	23987308
11313	100964	LYPLA2	Homo sapiens	1	+	23990232	23994615
2582	347	GALE	Homo sapiens	1	-	23994675	23999880
3155	159	HMGCL	Homo sapiens	1	-	24000953	24024535
2517	20078	FUCA1	Homo sapiens	1	-	24044160	24067361
1269	1389	CNR2	Homo sapiens	1	-	24073046	24112403
55629	9821	PNRC2	Homo sapiens	1	+	24158916	24162517
10772	87811	FUSIP1	Homo sapiens	1	-	24165525	24179407
127295	90559	LOC127295	Homo sapiens	1	-	24206116	24207595
127294	19432	MYOM3	Homo sapiens	1	-	24255121	24294079
58985	10943	IL22RA1	Homo sapiens	1	-	24318847	24342197
163702	52086	IL28RA	Homo sapiens	1	-	24353233	24386337
57822	18864	GRHL3	Homo sapiens	1	+	24518467	24554394
90529	12705	C1orf201	Homo sapiens	1	-	24556075	24600535
57185	10722	NPAL3	Homo sapiens	1	+	24614902	24671996
11123	8388	DSCR1L2	Homo sapiens	1	+	24701973	24735014
400746	27072	C1orf130	Homo sapiens	1	+	24755188	24808402
10250	21187	SRRM1	Homo sapiens	1	+	24842180	24872347
25932	8490	CLIC4	Homo sapiens	1	+	24944434	25043345
864	37914	RUNX3	Homo sapiens	1	-	25098644	25164061
25949	5993	SYF2	Homo sapiens	1	-	25421350	25431589
57035	10660	C1orf63	Homo sapiens	1	-	25441326	25446571
6007	7918	RHD	Homo sapiens	1	+	25471567	25529522
23585	4469	TMEM50A	Homo sapiens	1	+	25537397	25561438
6006	7918	RHCE	Homo sapiens	1	-	25561326	25619949
55219	14449	TMEM57	Homo sapiens	1	+	25630005	25698515
26119	9219	LDLRAP1	Homo sapiens	1	+	25742752	25767963
57134	69303	MAN1C1	Homo sapiens	1	+	25816545	25983527
57190	10723	SEPN1	Homo sapiens	1	+	25999253	26017299
56181	10472	FAM54B	Homo sapiens	1	+	26019270	26032015
79000	81895	C1orf135	Homo sapiens	1	-	26033083	26058434
164091	12420	PAQR7	Homo sapiens	1	-	26060561	26070330
3925	4063	STMN1	Homo sapiens	1	-	26099193	26105954
5051	37309	PAFAH2	Homo sapiens	1	-	26159901	26197234
2134	3277	EXTL1	Homo sapiens	1	+	26220857	26235518
7780	40855	SLC30A2	Homo sapiens	1	-	26237100	26245190
84676	41878	TRIM63	Homo sapiens	1	-	26250384	26266707
149420	36977	PDIK1L	Homo sapiens	1	+	26310912	26324627
51042	41070	ZNF593	Homo sapiens	1	+	26361095	26369950
729921	88178	LOC729921	Homo sapiens	1	-	26363238	26367576
10256	4604	CNKSR1	Homo sapiens	1	+	26376589	26388961
378807	18638	CATSPER4	Homo sapiens	1	+	26389705	26401619
64793	11254	CCDC21	Homo sapiens	1	+	26433279	26477885
83442	41824	SH3BGRL3	Homo sapiens	1	+	26479030	26480599
91544	12159	UBXD5	Homo sapiens	1	-	26481359	26505722
1043	88652	CD52	Homo sapiens	1	+	26516997	26519600
644849	19232	FLJ38020	Homo sapiens	1	-	26520936	26542928
55057	84819	AIM1L	Homo sapiens	1	-	26520958	26553207
257101	52141	ZNF683	Homo sapiens	1	-	26560711	26571852
79727	32592	LIN28	Homo sapiens	1	+	26609855	26628805
79947	32615	DHDDS	Homo sapiens	1	+	26631388	26670383
3151	88722	HMGN2	Homo sapiens	1	+	26671500	26675049
6195	55703	RPS6KA1	Homo sapiens	1	+	26728835	26774106
8289	21216	ARID1A	Homo sapiens	1	+	26895111	26981181
55650	5354	PIGV	Homo sapiens	1	+	26987072	26997473
84243	100991	ZDHHC18	Homo sapiens	1	+	27025787	27054794
2810	4475	SFN	Homo sapiens	1	+	27062219	27063533
54707	7006	ATPBD1B	Homo sapiens	1	-	27078459	27089455
63906	11122	GPATCH3	Homo sapiens	1	-	27089566	27099543
8431	8030	NR0B2	Homo sapiens	1	-	27110565	27113046
10726	4812	NUDC	Homo sapiens	1	+	27120810	27145473
126695	17563	C1orf172	Homo sapiens	1	-	27148647	27159483
401945	90110	LOC401945	Homo sapiens	1	+	27157918	27159647
388610	19492	LOC388610	Homo sapiens	1	+	27192784	27199733
115572	24928	FAM46B	Homo sapiens	1	-	27204097	27211913
6548	20660	SLC9A1	Homo sapiens	1	-	27297893	27353989
440577	90306	LOC440577	Homo sapiens	1	+	27405893	27406952
23038	8997	WDTC1	Homo sapiens	1	+	27433745	27507321
84065	11999	C1orf160	Homo sapiens	1	+	27521308	27535477
644961	90326	LOC644961	Homo sapiens	1	+	27521381	27525623
84958	12853	SYTL1	Homo sapiens	1	+	27541099	27553007
9064	3435	MAP3K6	Homo sapiens	1	-	27554256	27565923
8547	101532	FCN3	Homo sapiens	1	-	27568187	27573901
388611	19231	CD164L2	Homo sapiens	1	-	27578252	27582379
2827	31303	GPR3	Homo sapiens	1	+	27591738	27594904
10163	86920	WASF2	Homo sapiens	1	-	27604712	27689255
27245	17144	AHDC1	Homo sapiens	1	-	27733757	27802690
2268	3842	FGR	Homo sapiens	1	-	27811395	27823159
729973	89387	LOC729973	Homo sapiens	1	+	27847555	27849045
2537	49720	IFI6	Homo sapiens	1	-	27865158	27871310
199870	27071	FAM76A	Homo sapiens	1	+	27925076	27960701
23673	41508	STX12	Homo sapiens	1	+	27968318	28023402
5511	8555	PPP1R8	Homo sapiens	1	+	28029879	28050769
9473	21009	C1orf38	Homo sapiens	1	+	28071641	28085779
6118	37712	RPA2	Homo sapiens	1	-	28090635	28113822
27293	8708	SMPDL3B	Homo sapiens	1	+	28134090	28158249
55113	23068	XKR8	Homo sapiens	1	+	28159090	28167190
2140	1508	EYA3	Homo sapiens	1	-	28173405	28287717
653566	8842	LOC653566	Homo sapiens	1	-	28294136	28299494
5724	20260	PTAFR	Homo sapiens	1	-	28348424	28375777
22826	40935	DNAJC8	Homo sapiens	1	-	28399654	28432121
93974	40581	ATPIF1	Homo sapiens	1	+	28435197	28437197
83667	12873	SESN2	Homo sapiens	1	+	28458592	28481588
54797	9756	MED18	Homo sapiens	1	+	28528135	28535062
65979	41537	PHACTR4	Homo sapiens	1	+	28637268	28699406
1104	55567	RCC1	Homo sapiens	1	+	28705154	28738088
54952	49509	TRSPAP1	Homo sapiens	1	+	28752191	28777637
6883	68477	TAF12	Homo sapiens	1	-	28802199	28842171
10691	10647	GMEB1	Homo sapiens	1	+	28867830	28913984
51441	32302	YTHDF2	Homo sapiens	1	+	28936069	28968873
4985	20252	OPRD1	Homo sapiens	1	+	29011240	29062794
2035	44324	EPB41	Homo sapiens	1	+	29086214	29319544
399474	79738	TTMB	Homo sapiens	1	-	29318530	29321290
6429	25624	SFRS4	Homo sapiens	1	-	29346945	29380947
51102	5362	MECR	Homo sapiens	1	-	29391971	29430040
10076	4168	PTPRU	Homo sapiens	1	+	29435610	29525898
4146	1783	MATN1	Homo sapiens	1	-	30958582	30969473
7805	4922	LAPTM5	Homo sapiens	1	-	30977902	31003253
9672	7965	SDC3	Homo sapiens	1	-	31118566	31166300
9698	22830	PUM1	Homo sapiens	1	-	31176939	31311150
79570	11566	FAM77C	Homo sapiens	1	-	31425179	31433586
9410	3538	WDR57	Homo sapiens	1	-	31505106	31542199
51538	32319	ZCCHC17	Homo sapiens	1	+	31542428	31610366
2170	68379	FABP3	Homo sapiens	1	-	31610686	31618509
347735	27797	SERINC2	Homo sapiens	1	+	31658549	31680111
64129	41472	TINAGL1	Homo sapiens	1	+	31814746	31825873
3061	37492	HCRTR1	Homo sapiens	1	+	31857227	31865300
553115	56569	PEF1	Homo sapiens	1	-	31868057	31883063
1307	1397	COL16A1	Homo sapiens	1	-	31890434	31942235
576	1288	BAI2	Homo sapiens	1	-	31965305	32002222
90853	83439	SPOCD1	Homo sapiens	1	-	32028611	32054166
